geo,Generalist medical practitioners,General practitioners,Gynaecologists and obstetricians,Medical group of specialists,Cardiology,Dermatology,Gastroenterology,Haematology,Immunology,Internal medicine,Microbiology-bacteriology,Neurology,Occupational medicine,Oncology,Otorhinolaryngology,Pathology,Radiology,Respiratory medicine,Other specialists not elsewhere classified,General paediatricians,Psychiatrists,Specialist medical practitioners,Surgical group of specialists,Anaesthesiology and intensive care,General surgery,Neurological surgery,Ophthalmology,Orthopaedics,Plastic surgery,Urology,GDP_cap,Population
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410,
AT,0.295371498,-0.2925117,1.630695444,2.18574279,,2.011173184,,1.515151515,6.666666667,2.496967246,0.373134328,3.263598326,-1.361386139,,0.440251572,1.80878553,2.884615385,0.528541226,-3.703703704,2.49343832,3.327283727,2.42391803,2.743435169,3.139931741,1.898433792,0.406504065,1.688555347,3.414195867,7.619047619,2.164179104,36140,6272.4
BE,0.32183086,0.32183086,0.891410049,1.504996344,1.876379691,1.090342679,1.396160558,4.74137931,-0.406504065,1.131928181,-4.05904059,4.799107143,1.573849879,2.202072539,0.535714286,0.772200772,1.651305684,2.125279642,,1.894238358,0.293772033,1.392974083,1.559436821,2.098540146,-0.77186964,0.598802395,1.564185545,1.150747986,2.450980392,2.402402402,34200,8012.7
BG,-2.188117307,-0.929604322,1.444788442,0.297821006,4.458977408,0.408997955,6.610942249,2.521008403,0.938337802,-6.284786642,-2.406832298,-0.883069428,-1.554174067,17.24137931,0.618982118,-1.473684211,2.690909091,0.420757363,-0.537541183,-0.37631711,-2.973977695,1.468992949,5.123168401,3.004807692,1.892252894,1.43442623,0.266808965,2.822201317,5.050505051,3.10786106,5790,5467.6
CH,2.012063378,4.313858696,2.501263264,2.502502503,2.366863905,2.700490998,1.736972705,4.255319149,1.779026217,3.899082569,-2.941176471,2.643856921,2.197802198,4.570637119,2.612612613,1.465201465,2.486910995,2.615384615,-0.843881857,3.369905956,1.292226292,2.361229718,2.742787485,2.635046113,2.108607741,2.319587629,1.211072664,4.537444934,3.55450237,3.645833333,57840,6069.9
CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040,577.5
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16160,7868.5
DE,-0.364252001,-0.169899476,0.926672039,2.235935246,5.893536122,0.847457627,4.177545692,1.923076923,3.301886792,0.988739357,1.5625,5.716253444,1.793721973,4.968944099,1.278409091,0.985221675,1.774891775,3.474903475,-0.535714286,0.640243902,1.182432432,1.818330338,1.948462929,2.634779084,-0.559210526,4.932735426,0.889679715,2.635699374,5.952380952,1.607717042,34220,61683.7
DK,0.686917066,,0.861244019,2.421360644,,,,,,,,,,,,,,,1.404494382,2.751031637,0.8492569,2.031081243,2.092713023,,,,,,,,45630,3991
EE,0.100225507,0.855607411,0.91943958,1.679693996,2.39965096,1.883830455,3.885135135,-5.208333333,1.120448179,9.406372763,,3.441494592,9.935205184,12.63736264,2.375296912,6.835443038,1.208981002,-6.212121212,,-1.840942563,4.323529412,1.553382747,1.52557209,-4.494643689,7.273320287,0,0.46728972,1.550387597,4.395604396,10.95334686,13330,963.8
EL,13.76333961,17.74400685,9.770114943,13.00281834,11.38297872,8.915441176,12.66568483,11.40939597,12.43902439,37.45796907,12.01657459,20.65826331,23.35526316,24.43946188,12.70042194,3.18015318,12.37424547,12.19602063,18.30143541,11.47378833,12.75129236,12.56659231,12.50926956,9.756097561,16.40696609,12.23880597,10.32085561,14.07582938,13.95348837,8.767772512,17080,8171.3
ES,-0.213020903,-0.213020903,0.548060708,1.881049795,3.025936599,2.976190476,4.159445407,2.185314685,1.470588235,1.514466546,0.350262697,1.22591944,0.173611111,2.956989247,0.103305785,2.359550562,2.007772021,1.897533207,2.255639098,0.901253918,0.818094321,1.494362461,1.424997281,1.598962835,0.13215859,0.609756098,0.584415584,0.933441558,2.573529412,0.618374558,23080,34489.9
FI,-0.456639136,,6.025824964,1.928900592,,,,,,,,,,,,,,,18.8697318,-0.889404486,-1.777686964,2.587140074,3.891757506,,,,,,,,34470,3938.1
FR,-0.33312294,-1.807797108,-0.408496732,1.113096056,0.920542636,-1.373182553,1.199261993,9.615384615,0,2.412645591,5.321782178,3.458213256,-1.253357207,6.640625,-0.429184549,0.210084034,1.223544974,1.480637813,1.993355482,1.390095569,0.490633363,1.001554652,1.291390728,1.290322581,0.339673913,1.25,0.112485939,2.478448276,0.763358779,4.773869347,31540,45097.4
HR,-0.76540375,1.507537688,1.928451649,3.174249844,,4.166666667,,11.53846154,,1.505700151,2.051282051,3.394396552,4.719283971,,0.941915228,3.074433657,3.673245614,11.75,-25,3.05075594,1.736806947,3.780672119,6.738768719,10.05763689,1.502145923,1.776649746,2.611534276,9.090909091,23.80952381,1.401869159,10590,3103.7
IE,-10.73082862,1.540789655,-0.831024931,-9.946889226,-14.15584416,-5.847953216,-19.30379747,-6.828193833,-16.50246305,-6.056173201,-11.42857143,-4.020100503,-13.18897638,-3.631961259,-12.19008264,-10.61705989,-8.565310493,-18.07432432,-14.09090909,-4.336734694,-8.178534572,-9.765846289,-6.593633733,-5.302096178,-15.49232159,-8.75,-10.79136691,1.950718686,-2.071005917,-3.75,49470,3120.9
IS,-0.284139831,-0.284139831,-1.066961001,-0.510485651,5.44768069,-1.047619048,-3.55987055,-1.079136691,0.71942446,0.873455475,-0.925925926,-5.128205128,-4.319654428,-1.012145749,-1.078582435,-4.987046632,0.441609421,2.024291498,,-4.319654428,3.894885031,0.252224158,0.888252149,0.706297822,0.115651503,-0.974025974,-1.062753036,3.385672228,4.316546763,-1.051779935,35890,190.3
IT,-0.326356066,-1.012658228,-0.915099136,-1.440211565,-1.194770063,0.068493151,-2.728731942,0.907441016,-0.839328537,-2.820809249,-7.451923077,-4.553492485,3.416149068,-1.824324324,0.340136054,7.786885246,12.26415094,-5.04,,-1.154774216,-0.801104972,-0.929769218,-0.132331145,-1.748921897,-2.547393365,2.822580645,0.173913043,-1.23939987,4.353562005,-1.564828614,25640,46133.6
LI,-3.343662535,-7.992055883,5.47850208,-0.679865115,23.93715342,-0.693160813,,,-0.555555556,-4.968644477,,,,,-0.739371534,,-0.739371534,,,9.171597633,9.190088757,0.507976116,-4.473684211,-8.877928483,-0.555555556,-0.739371534,-10.53994083,-0.678175092,-0.678175092,-0.678175092,,
LT,2.975215635,2.625173853,-1.133200795,-0.201862343,1.007705987,1.405325444,2.918287938,5.291970803,2.093596059,0.331052748,5.508474576,-0.329341317,-1.851851852,-1.851851852,-1.953488372,-1.138716356,-1.415970288,-5.29685681,2.218934911,-1.393534002,1.535992664,0.114545833,0.858684985,0.229282673,-1.041666667,-0.88028169,0.149365198,,10.10928962,1.215953307,11590,2113.7
LU,0.860965678,0.860965678,1.010739103,1.547270955,2.112676056,4.005722461,9.067357513,47.22222222,-4.857142857,-1.951710262,,3.274760383,,47.22222222,0.067934783,,0.917767988,1.891252955,-46.51162791,3.588195842,4.014423077,1.619947187,2.609912728,-1.751207729,-5.390008764,-9.108527132,5.476402493,2.205128205,14.53674121,1.52173913,81300,393.8
LV,1.713141501,1.713141501,-2.989257356,0.169222634,5.448275862,4.79876161,-1.901140684,10.31746032,-0.529100529,0.896771622,-3.50877193,0.664893617,-2.747252747,-5.102040816,-2.896551724,0.717703349,-1.51179941,-5.394190871,0,-0.90765588,-0.219435737,-0.327758134,-0.270809578,-1.699946033,1.945288754,0,2.599243856,-2.738095238,-3.669724771,3.526448363,10740,1454.2
