"geo","GE10_ED0-2_Y25-34","GE10_ED3_4_Y25-34","GE10_ED5-8_Y25-34","NVR_ED0-2_Y25-34","NVR_ED3_4_Y25-34","NVR_ED5-8_Y25-34","GE10_ED0-2_Y35-49","GE10_ED3_4_Y35-49","GE10_ED5-8_Y35-49","NVR_ED0-2_Y35-49","NVR_ED3_4_Y35-49","NVR_ED5-8_Y35-49","GE10_ED0-2_Y50-64","GE10_ED3_4_Y50-64","GE10_ED5-8_Y50-64","NVR_ED0-2_Y50-64","NVR_ED3_4_Y50-64","NVR_ED5-8_Y50-64","GDP_cap","Population"
"EU28",4.6,3.1,2.8,37,33.5,30,5.2,4.3,3,30.4,29.5,26.1,8.2,7.5,4.6,22.2,20.9,21.2,27720,371157.1
"EU27",4.5,3.1,2.8,36.9,33.2,29.9,5.2,4.3,2.9,30.3,29.4,26,8.1,7.4,4.6,22.1,20.8,21.2,,
"EA19",4.1,2.9,2.3,32.6,27.7,26.7,4.7,4.4,2.6,27.6,24,23,7.5,6.9,4.3,20.8,17,19.2,30410,249597.3
"EA18",4.1,3,2.3,32.6,27.6,26.7,4.7,4.4,2.6,27.6,23.9,22.9,7.5,6.9,4.3,20.8,17,19.2,,
"BE",6.7,5,4.2,20.5,22.6,13.8,11.9,9.2,6.1,17.3,13.7,15.7,18.4,12.2,6.6,10.9,10,12.7,35000,7979.1
"BG",2.6,1.2,1.3,72.8,68,65.2,1.8,2.5,1.1,68.6,60.3,57.4,6.4,5.2,4.1,46.4,47,45.3,6310,5415.8
"CZ",5.1,2.2,0.6,13.1,25.2,20.2,8.5,4.2,1.9,23.3,19,20.3,15.3,6.9,4.1,9.2,10.3,14.6,17200,7929.6
"DK",32.7,24.6,18.6,25.2,16.3,16.7,23.6,17.8,16.9,14.2,14.4,20.7,27.3,24.9,23.6,13.9,13.6,16.2,47070,4068.5
"DE",10,4,2.4,13,12.6,18.2,10.6,5.8,2.5,9.4,11.6,15.7,17.3,9.9,5.7,6.8,8.7,12.7,35420,62221.3
"EE",1.5,2.8,0.2,45.2,34.9,33.2,1.2,1.1,0.6,37.5,34,30.2,11.5,4.6,1.5,18.9,23.4,24.1,14440,970.5
