"geo","GEN_1-2","GEN_3-5","GEN_6-9","GEN_GE10","GEN_NVR","MED_DDS_1-2","MED_DDS_3-5","MED_DDS_6-9","MED_DDS_GE10","MED_DDS_NVR","SURG_GEN_1-2","SURG_GEN_3-5","SURG_GEN_6-9","SURG_GEN_GE10","SURG_GEN_NVR","GDP_cap","Population"
"EU28",37.6,24.4,7.9,6.4,23.7,42.9,9.8,1.9,0.9,44.4,33.2,13.7,4.2,3.1,45.9,27720,371157.1
"EU27",37.7,24.5,7.9,6.3,23.7,43.1,9.8,1.9,0.9,44.3,33.2,13.7,4.2,3.1,45.7,,
"EA19",40,26.1,7.7,5.9,20.3,46.3,10.4,2.1,1,40.3,37.2,15,4.5,3.3,39.9,30410,249597.3
"EA18",40,26.1,7.7,5.9,20.2,46.4,10.4,2.1,1,40.1,37.3,15.1,4.5,3.3,39.8,,
"BE",34.9,31.1,9.7,11.7,12.6,58.6,8.8,1.9,1,29.7,30.9,13.5,4.8,4.8,45.9,35000,7979.1
"BG",22,15.6,5.5,4.6,52.4,17.3,3.7,0.3,0.1,78.5,23.1,6.9,1.2,0.9,67.9,6310,5415.8
"CZ",45.2,26.7,7.4,6.6,14.2,66.5,11.9,1.8,1.4,18.3,39.4,20.3,7.3,7,25.9,17200,7929.6
"DK",17.8,22,20.2,25.9,14.2,56.5,4.4,0,0,39.1,26.2,9.7,3.4,1.1,59.7,47070,4068.5
"DE",39.4,32.7,9.9,7.3,10.7,65.3,16.6,3.3,1.1,13.8,42,23.2,7.5,5.5,21.7,35420,62221.3
"EE",42.5,23.1,4.5,3.3,26.7,31.8,11.3,2.2,0.9,53.8,32,15.6,3.4,2.1,46.9,14440,970.5
"IE",36.3,23.6,7.9,8,24.2,40.5,6.2,1.1,0.6,51.6,21.7,6.9,1.8,1.4,68.2,54240,3206.4
"EL",26.5,9.2,2.1,1.7,60.5,20.6,3.8,0.6,0.3,74.7,17.4,6.3,1.7,1.4,73.1,17410,8128.3
"ES",44.3,22.3,6.9,6.1,20.3,36.3,7.1,1.7,1.3,53.6,33.2,12,3.7,2.6,48.5,24410,34636.4
"FR",34.2,33.5,10.2,6.7,15.4,35.1,10.6,2.6,1.1,50.6,35.6,15.1,4.5,3.4,41.4,32370,45674.8
"HR",30.2,19.1,7.6,10.9,32.2,28,11.5,2.3,1.5,56.7,24.8,9.9,2.9,3,59.5,11480,3081.5
"IT",46.9,17.2,4.3,2.5,29.2,37.8,3.2,0.4,0.2,58.4,48.3,9.7,2,0.8,39.3,26500,46174.2
"CY",42,16.5,6.9,2.2,32.3,45.4,12.5,2.7,1.6,37.8,37.1,15.1,6,5.5,36.4,23120,595.8
"LV",36,25.6,10.9,7.5,20.1,36.1,12.3,1.9,0.9,48.9,30.2,15.1,3.4,2.6,48.8,11560,1432.2
"LT",37.8,22.8,10.4,5.3,23.7,30.8,10.8,2.2,1.1,55.1,28.7,10.2,2.8,1.5,56.9,12720,2082.7
"LU",45,30.2,7.8,5.7,11.3,65.3,11.4,2.7,1.2,19.4,40.7,19,6.8,5.4,28.1,82550,415.3
"HU",30.4,20.6,10,10,28.9,18.4,5.3,1.1,0.8,74.4,24.9,11.5,4.1,3.7,55.8,11930,7153
"MT",43.9,27.3,7.4,4.3,17.1,45.4,6.8,1.1,0.5,46.2,26.5,6.6,1.8,0.9,64.2,20850,343.3
"NL",38.9,22.8,5.6,3.5,29.2,66.4,15.2,1.7,0.6,16,22.4,12.6,4,3.8,57.2,40730,12038.1
"AT",36.1,26.5,8.6,12.3,16.5,53.3,13,2.8,1.5,29.4,38.4,18.7,5.5,5.3,32,37090,6408.2
"PL",24.7,21.8,9.1,7.9,36.4,20.7,10.1,2.1,1,66.1,21.8,13.9,4.7,3.7,55.8,11820,26768.3
"PT",44.2,25.3,7.1,4.7,18.7,33.6,14.2,3.3,2.3,46.6,33.1,13.5,3.8,2.7,46.9,17650,7760.7
"RO",33.1,13.5,6.2,4.2,42.9,14.9,2.5,0.6,0.3,81.7,9.2,1.8,0.6,0.4,87.9,8320,14466.1
"SI",35.3,26.1,6.2,8,24.5,36.5,17.2,3.4,2.4,40.5,32.4,12.9,3.7,3.7,47.2,19430,1559.6
"SK",47.2,20.7,8.2,5.9,18.1,65.1,8.6,1.1,0.7,24.6,30.7,13.5,4.8,3.4,47.6,14970,3984.6
"FI",39.3,20.8,4.4,3.3,32.2,41,13.3,2,0.6,43.1,27.5,9.5,2.2,1.7,59,36270,3985.8
"SE",38.5,15.9,3.9,3.6,38.1,56.1,9.1,1.8,1,32.1,23.6,7.8,2,1.7,64.8,43350,7040.8
"UK",35.3,21.6,8.3,8.4,26.4,56.1,11.7,2,0.7,29.5,21.2,8.6,3,2.8,64.4,32460,45636.1
"NO",41.5,22.7,6.6,8,21.2,64.8,8.1,1.2,0.7,25.1,27.4,7.7,1.5,1.8,61.6,69130,3671.7
"MK",17.4,13.2,4.7,6.5,58.3,18.8,7,0.9,0.4,73,13,4,1,0.7,81.3,,1464.3
"RS",28.4,18.9,6.8,15.5,30.3,24,8.5,0.9,0.8,65.7,26.2,13.3,3.9,4.8,51.7,4950,5243.8
