"unit","na_item","geo","time","values"
"CLV10_EUR_HAB","B1GQ","AL",2000,1700
"CLV10_EUR_HAB","B1GQ","AT",2000,31710
"CLV10_EUR_HAB","B1GQ","BE",2000,30300
"CLV10_EUR_HAB","B1GQ","BG",2000,3010
"CLV10_EUR_HAB","B1GQ","CH",2000,50770
"CLV10_EUR_HAB","B1GQ","CY",2000,20130
"CLV10_EUR_HAB","B1GQ","CZ",2000,11170
"CLV10_EUR_HAB","B1GQ","DE",2000,28900
"CLV10_EUR_HAB","B1GQ","DK",2000,42190
"CLV10_EUR_HAB","B1GQ","EA19",2000,26490
"CLV10_EUR_HAB","B1GQ","EE",2000,7570
"CLV10_EUR_HAB","B1GQ","EL",2000,17570
"CLV10_EUR_HAB","B1GQ","ES",2000,21460
"CLV10_EUR_HAB","B1GQ","EU28",2000,22940
"CLV10_EUR_HAB","B1GQ","FI",2000,30510
"CLV10_EUR_HAB","B1GQ","FR",2000,28930
"CLV10_EUR_HAB","B1GQ","HR",2000,7840
"CLV10_EUR_HAB","B1GQ","HU",2000,7900
"CLV10_EUR_HAB","B1GQ","IE",2000,33310
"CLV10_EUR_HAB","B1GQ","IS",2000,28290
"CLV10_EUR_HAB","B1GQ","IT",2000,27430
"CLV10_EUR_HAB","B1GQ","LT",2000,5230
"CLV10_EUR_HAB","B1GQ","LU",2000,70460
"CLV10_EUR_HAB","B1GQ","LV",2000,5210
"CLV10_EUR_HAB","B1GQ","MK",2000,2620
"CLV10_EUR_HAB","B1GQ","MT",2000,13830
"CLV10_EUR_HAB","B1GQ","NL",2000,35060
"CLV10_EUR_HAB","B1GQ","NO",2000,61660
"CLV10_EUR_HAB","B1GQ","PL",2000,6440
"CLV10_EUR_HAB","B1GQ","PT",2000,16230
"CLV10_EUR_HAB","B1GQ","RO",2000,
"CLV10_EUR_HAB","B1GQ","RS",2000,2650
"CLV10_EUR_HAB","B1GQ","SE",2000,33780
"CLV10_EUR_HAB","B1GQ","SI",2000,13980
"CLV10_EUR_HAB","B1GQ","SK",2000,7780
"CLV10_EUR_HAB","B1GQ","TR",2000,6100
"CLV10_EUR_HAB","B1GQ","UK",2000,26920
"CLV_PCH_PRE_HAB","B1GQ","AL",2000,7.7
"CLV_PCH_PRE_HAB","B1GQ","AT",2000,3.1
"CLV_PCH_PRE_HAB","B1GQ","BE",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","BG",2000,5.3
"CLV_PCH_PRE_HAB","B1GQ","CH",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","CY",2000,4.9
"CLV_PCH_PRE_HAB","B1GQ","CZ",2000,4.4
"CLV_PCH_PRE_HAB","B1GQ","DE",2000,2.9
"CLV_PCH_PRE_HAB","B1GQ","DK",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","EA19",2000,3.5
"CLV_PCH_PRE_HAB","B1GQ","EE",2000,8.4
"CLV_PCH_PRE_HAB","B1GQ","EL",2000,3.5
"CLV_PCH_PRE_HAB","B1GQ","ES",2000,4.8
"CLV_PCH_PRE_HAB","B1GQ","EU28",2000,3.6
"CLV_PCH_PRE_HAB","B1GQ","FI",2000,5.6
"CLV_PCH_PRE_HAB","B1GQ","FR",2000,3.2
"CLV_PCH_PRE_HAB","B1GQ","HR",2000,4.5
"CLV_PCH_PRE_HAB","B1GQ","HU",2000,4.8
"CLV_PCH_PRE_HAB","B1GQ","IE",2000,8
"CLV_PCH_PRE_HAB","B1GQ","IS",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","IT",2000,3.7
"CLV_PCH_PRE_HAB","B1GQ","LT",2000,4.6
"CLV_PCH_PRE_HAB","B1GQ","LU",2000,6.8
"CLV_PCH_PRE_HAB","B1GQ","LV",2000,6.6
"CLV_PCH_PRE_HAB","B1GQ","NL",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","NO",2000,2.5
"CLV_PCH_PRE_HAB","B1GQ","PL",2000,4.6
"CLV_PCH_PRE_HAB","B1GQ","PT",2000,3.1
"CLV_PCH_PRE_HAB","B1GQ","RO",2000,
"CLV_PCH_PRE_HAB","B1GQ","RS",2000,6.5
"CLV_PCH_PRE_HAB","B1GQ","SE",2000,4.7
"CLV_PCH_PRE_HAB","B1GQ","SI",2000,3.4
"CLV_PCH_PRE_HAB","B1GQ","SK",2000,1.1
"CLV_PCH_PRE_HAB","B1GQ","TR",2000,5.1
"CLV_PCH_PRE_HAB","B1GQ","UK",2000,3.1
"CLV10_EUR_HAB","B1GQ","AL",2001,1850
"CLV10_EUR_HAB","B1GQ","AT",2001,31990
"CLV10_EUR_HAB","B1GQ","BE",2001,30500
"CLV10_EUR_HAB","B1GQ","BG",2001,3230
"CLV10_EUR_HAB","B1GQ","CH",2001,51220
"CLV10_EUR_HAB","B1GQ","CY",2001,20700
"CLV10_EUR_HAB","B1GQ","CZ",2001,11540
"CLV10_EUR_HAB","B1GQ","DE",2001,29370
"CLV10_EUR_HAB","B1GQ","DK",2001,42390
"CLV10_EUR_HAB","B1GQ","EA19",2001,26970
"CLV10_EUR_HAB","B1GQ","EE",2001,8070
"CLV10_EUR_HAB","B1GQ","EL",2001,18210
"CLV10_EUR_HAB","B1GQ","ES",2001,22190
"CLV10_EUR_HAB","B1GQ","EU28",2001,23410
"CLV10_EUR_HAB","B1GQ","FI",2001,31230
"CLV10_EUR_HAB","B1GQ","FR",2001,29290
"CLV10_EUR_HAB","B1GQ","HR",2001,8500
"CLV10_EUR_HAB","B1GQ","HU",2001,8240
"CLV10_EUR_HAB","B1GQ","IE",2001,34520
"CLV10_EUR_HAB","B1GQ","IS",2001,28990
"CLV10_EUR_HAB","B1GQ","IT",2001,27950
"CLV10_EUR_HAB","B1GQ","LT",2001,5620
"CLV10_EUR_HAB","B1GQ","LU",2001,71440
"CLV10_EUR_HAB","B1GQ","LV",2001,5610
"CLV10_EUR_HAB","B1GQ","MK",2001,2530
"CLV10_EUR_HAB","B1GQ","MT",2001,13800
"CLV10_EUR_HAB","B1GQ","NL",2001,35610
"CLV10_EUR_HAB","B1GQ","NO",2001,62620
"CLV10_EUR_HAB","B1GQ","PL",2001,6520
"CLV10_EUR_HAB","B1GQ","PT",2001,16430
"CLV10_EUR_HAB","B1GQ","RO",2001,
"CLV10_EUR_HAB","B1GQ","RS",2001,2840
"CLV10_EUR_HAB","B1GQ","SE",2001,34180
"CLV10_EUR_HAB","B1GQ","SI",2001,14410
"CLV10_EUR_HAB","B1GQ","SK",2001,8060
"CLV10_EUR_HAB","B1GQ","TR",2001,5700
"CLV10_EUR_HAB","B1GQ","UK",2001,27610
"CLV_PCH_PRE_HAB","B1GQ","AL",2001,8.9
"CLV_PCH_PRE_HAB","B1GQ","AT",2001,0.9
"CLV_PCH_PRE_HAB","B1GQ","BE",2001,0.5
"CLV_PCH_PRE_HAB","B1GQ","BG",2001,7.2
"CLV_PCH_PRE_HAB","B1GQ","CH",2001,0.9
"CLV_PCH_PRE_HAB","B1GQ","CY",2001,2.8
"CLV_PCH_PRE_HAB","B1GQ","CZ",2001,3.4
"CLV_PCH_PRE_HAB","B1GQ","DE",2001,1.6
"CLV_PCH_PRE_HAB","B1GQ","DK",2001,0.5
"CLV_PCH_PRE_HAB","B1GQ","EA19",2001,1.8
