"unit","med_spec","geo","time","values"
"NR","GEN","FR",2018,94923
"NR","GEN","IE",2018,8985
"NR","GEN","IS",2018,218
"NR","GEN","IT",2018,53742
"NR","GEN","LI",2018,44
"NR","GEN","ME",2018,336
"NR","GEN","MT",2018,396
"NR","GEN","NO",2018,4691
"NR","GEN","UK",2018,49569
"NR","GEN_OTH","FR",2018,35524
"NR","GEN_OTH","IE",2018,4715
"NR","GEN_OTH","IT",2018,10011
"NR","GEN_OTH","LI",2018,19
"NR","GEN_OTH","ME",2018,0
"NR","GEN_OTH","MT",2018,0
"NR","GEN_OTH","NO",2018,474
"NR","GEN_PRAC","FR",2018,59399
"NR","GEN_PRAC","IE",2018,4250
"NR","GEN_PRAC","IS",2018,218
"NR","GEN_PRAC","IT",2018,43731
"NR","GEN_PRAC","LI",2018,25
"NR","GEN_PRAC","ME",2018,336
"NR","GEN_PRAC","MT",2018,396
"NR","GEN_PRAC","NO",2018,4217
"NR","GEN_PRAC","UK",2018,49569
"NR","GYN","FR",2018,8036
"NR","GYN","IE",2018,374
"NR","GYN","IS",2018,54
"NR","GYN","IT",2018,12209
"NR","GYN","LI",2018,8
"NR","GYN","ME",2018,117
"NR","GYN","MT",2018,79
"NR","GYN","NO",2018,639
"NR","GYN","UK",2018,7809
"NR","MED","FR",2018,51414
"NR","MED","IE",2018,2969
"NR","MED","IS",2018,392
"NR","MED","IT",2018,87722
"NR","MED","LI",2018,34
"NR","MED","ME",2018,684
"NR","MED","MT",2018,417
"NR","MED","NO",2018,4501
"NR","MED","UK",2018,48016
"NR","NSP","IE",2018,20
"NR","NSP","IS",2018,353
"NR","NSP","LI",2018,0
"NR","NSP","ME",2018,0
"NR","NSP","MT",2018,471
"NR","NSP","NO",2018,9966
"NR","OTH","FR",2018,2485
"NR","OTH","IE",2018,66
"NR","OTH","IS",2018,0
"NR","OTH","IT",2018,0
"NR","OTH","LI",2018,0
"NR","OTH","ME",2018,0
"NR","OTH","NO",2018,422
"NR","OTH","UK",2018,6315
"NR","PAED","FR",2018,8134
"NR","PAED","IE",2018,492
"NR","PAED","IS",2018,15
"NR","PAED","IT",2018,17059
"NR","PAED","LI",2018,5
"NR","PAED","ME",2018,183
"NR","PAED","MT",2018,87
"NR","PAED","NO",2018,928
"NR","PAED","UK",2018,10693
"NR","PSY","FR",2018,15315
"NR","PSY","IE",2018,806
"NR","PSY","IS",2018,83
"NR","PSY","IT",2018,10322
"NR","PSY","LI",2018,14
"NR","PSY","ME",2018,71
"NR","PSY","MT",2018,55
"NR","PSY","NO",2018,1374
"NR","PSY","UK",2018,11948
"NR","SPEC","FR",2018,117414
"NR","SPEC","IE",2018,6977
"NR","SPEC","IS",2018,802
"NR","SPEC","IT",2018,187394
"NR","SPEC","LI",2018,91
"NR","SPEC","ME",2018,1394
"NR","SPEC","MT",2018,1058
"NR","SPEC","NO",2018,10877
"NR","SPEC","UK",2018,138726
"NR","SURG","FR",2018,32030
"NR","SURG","IE",2018,2270
"NR","SURG","IS",2018,258
"NR","SURG","IT",2018,60082
"NR","SURG","LI",2018,30
"NR","SURG","ME",2018,339
"NR","SURG","MT",2018,420
"NR","SURG","NO",2018,3013
"NR","SURG","UK",2018,54457
"NR","GEN","AT",2017,13745
"NR","GEN","BE",2017,12992
"NR","GEN","BG",2017,4650
"NR","GEN","CH",2017,9628
"NR","GEN","CY",2017,833
"NR","GEN","DE",2017,82290
"NR","GEN","EE",2017,1059
"NR","GEN","EL",2017,4651
"NR","GEN","ES",2017,35378
"NR","GEN","FR",2017,94889
"NR","GEN","HR",2017,3321
"NR","GEN","HU",2017,6855
"NR","GEN","IE",2017,8763
"NR","GEN","IS",2017,209
"NR","GEN","IT",2017,53691
"NR","GEN","LI",2017,46
"NR","GEN","LT",2017,2971
"NR","GEN","LU",2017,534
"NR","GEN","LV",2017,1414
"NR","GEN","ME",2017,303
"NR","GEN","MK",2017,2032
"NR","GEN","MT",2017,379
"NR","GEN","NL",2017,27575
"NR","GEN","NO",2017,4566
"NR","GEN","PL",2017,15908
"NR","GEN","PT",2017,27076
"NR","GEN","RO",2017,15020
"NR","GEN","RS",2017,6084
"NR","GEN","SI",2017,1400
"NR","GEN","TR",2017,47999
"NR","GEN","UK",2017,49824
"NR","GEN_OTH","AT",2017,7108
"NR","GEN_OTH","BE",2017,0
"NR","GEN_OTH","BG",2017,119
"NR","GEN_OTH","CH",2017,8202
"NR","GEN_OTH","CY",2017,0
"NR","GEN_OTH","DE",2017,24119.5
"NR","GEN_OTH","EE",2017,122
"NR","GEN_OTH","EL",2017,1004
"NR","GEN_OTH","FR",2017,34675
"NR","GEN_OTH","HR",2017,1016
"NR","GEN_OTH","HU",2017,2481
"NR","GEN_OTH","IE",2017,4821
"NR","GEN_OTH","IT",2017,9960
"NR","GEN_OTH","LI",2017,21
"NR","GEN_OTH","LT",2017,303
"NR","GEN_OTH","LU",2017,0
"NR","GEN_OTH","LV",2017,0
"NR","GEN_OTH","ME",2017,0
"NR","GEN_OTH","MT",2017,0
"NR","GEN_OTH","NL",2017,12934
"NR","GEN_OTH","NO",2017,431
"NR","GEN_OTH","PL",2017,7490
"NR","GEN_OTH","PT",2017,2828
"NR","GEN_OTH","RO",2017,2836
"NR","GEN_OTH","RS",2017,1233
"NR","GEN_OTH","SI",2017,163
"NR","GEN_PRAC","AT",2017,6637
"NR","GEN_PRAC","BE",2017,12992
"NR","GEN_PRAC","BG",2017,4531
"NR","GEN_PRAC","CH",2017,1426
"NR","GEN_PRAC","CY",2017,833
"NR","GEN_PRAC","DE",2017,58170.5
"NR","GEN_PRAC","EE",2017,937
"NR","GEN_PRAC","EL",2017,3647
"NR","GEN_PRAC","ES",2017,35378
"NR","GEN_PRAC","FR",2017,60214
"NR","GEN_PRAC","HR",2017,2305
"NR","GEN_PRAC","HU",2017,4374
"NR","GEN_PRAC","IE",2017,3942
"NR","GEN_PRAC","IS",2017,209
"NR","GEN_PRAC","IT",2017,43731
"NR","GEN_PRAC","LI",2017,25
"NR","GEN_PRAC","LT",2017,2668
"NR","GEN_PRAC","LU",2017,534
"NR","GEN_PRAC","LV",2017,1414
"NR","GEN_PRAC","ME",2017,303
"NR","GEN_PRAC","MT",2017,379
"NR","GEN_PRAC","NL",2017,14641
"NR","GEN_PRAC","NO",2017,4135
"NR","GEN_PRAC","PL",2017,8418
"NR","GEN_PRAC","PT",2017,24248
"NR","GEN_PRAC","RO",2017,12184
"NR","GEN_PRAC","RS",2017,4851
