"med_spec","frequenc","isced11","sex","age","unit","geo","time","values"
"GEN","1-2","ED0-2","F","TOTAL","PC","EU28",2017,33.5
"GEN","1-2","ED0-2","F","Y16-24","PC","EU28",2017,41.8
"GEN","1-2","ED0-2","F","Y25-34","PC","EU28",2017,40.3
"GEN","1-2","ED0-2","F","Y25-64","PC","EU28",2017,37.6
"GEN","1-2","ED0-2","F","Y35-49","PC","EU28",2017,39.3
"GEN","1-2","ED0-2","F","Y50-64","PC","EU28",2017,35.9
"GEN","1-2","ED0-2","F","Y65-74","PC","EU28",2017,30.8
"GEN","1-2","ED0-2","F","Y_GE18","PC","EU28",2017,32.8
"GEN","1-2","ED0-2","F","Y_GE75","PC","EU28",2017,24.8
"GEN","1-2","ED0-2","M","TOTAL","PC","EU28",2017,36.7
"GEN","1-2","ED0-2","M","Y16-24","PC","EU28",2017,40.9
"GEN","1-2","ED0-2","M","Y25-34","PC","EU28",2017,35.3
"GEN","1-2","ED0-2","M","Y25-64","PC","EU28",2017,38.3
"GEN","1-2","ED0-2","M","Y35-49","PC","EU28",2017,41.2
"GEN","1-2","ED0-2","M","Y50-64","PC","EU28",2017,37.2
"GEN","1-2","ED0-2","M","Y65-74","PC","EU28",2017,35.5
"GEN","1-2","ED0-2","M","Y_GE18","PC","EU28",2017,36.3
"GEN","1-2","ED0-2","M","Y_GE75","PC","EU28",2017,28.5
"GEN","1-2","ED0-2","T","TOTAL","PC","EU28",2017,34.9
"GEN","1-2","ED0-2","T","Y16-24","PC","EU28",2017,41.3
"GEN","1-2","ED0-2","T","Y25-34","PC","EU28",2017,37.6
"GEN","1-2","ED0-2","T","Y25-64","PC","EU28",2017,38
"GEN","1-2","ED0-2","T","Y35-49","PC","EU28",2017,40.3
"GEN","1-2","ED0-2","T","Y50-64","PC","EU28",2017,36.5
"GEN","1-2","ED0-2","T","Y65-74","PC","EU28",2017,32.7
"GEN","1-2","ED0-2","T","Y_GE18","PC","EU28",2017,34.4
"GEN","1-2","ED0-2","T","Y_GE75","PC","EU28",2017,26
"GEN","1-2","ED3_4","F","TOTAL","PC","EU28",2017,36.7
"GEN","1-2","ED3_4","F","Y16-24","PC","EU28",2017,41.4
"GEN","1-2","ED3_4","F","Y25-34","PC","EU28",2017,38.8
"GEN","1-2","ED3_4","F","Y25-64","PC","EU28",2017,39
"GEN","1-2","ED3_4","F","Y35-49","PC","EU28",2017,41.8
"GEN","1-2","ED3_4","F","Y50-64","PC","EU28",2017,36.5
"GEN","1-2","ED3_4","F","Y65-74","PC","EU28",2017,28.3
"GEN","1-2","ED3_4","F","Y_GE18","PC","EU28",2017,36.7
"GEN","1-2","ED3_4","F","Y_GE75","PC","EU28",2017,22.4
"GEN","1-2","ED3_4","M","TOTAL","PC","EU28",2017,37.2
"GEN","1-2","ED3_4","M","Y16-24","PC","EU28",2017,42.8
"GEN","1-2","ED3_4","M","Y25-34","PC","EU28",2017,40.1
"GEN","1-2","ED3_4","M","Y25-64","PC","EU28",2017,38.4
"GEN","1-2","ED3_4","M","Y35-49","PC","EU28",2017,40
"GEN","1-2","ED3_4","M","Y50-64","PC","EU28",2017,35.8
"GEN","1-2","ED3_4","M","Y65-74","PC","EU28",2017,29.7
"GEN","1-2","ED3_4","M","Y_GE18","PC","EU28",2017,37.2
"GEN","1-2","ED3_4","M","Y_GE75","PC","EU28",2017,24.6
"GEN","1-2","ED3_4","T","TOTAL","PC","EU28",2017,36.9
"GEN","1-2","ED3_4","T","Y16-24","PC","EU28",2017,42.1
"GEN","1-2","ED3_4","T","Y25-34","PC","EU28",2017,39.5
"GEN","1-2","ED3_4","T","Y25-64","PC","EU28",2017,38.7
"GEN","1-2","ED3_4","T","Y35-49","PC","EU28",2017,40.9
"GEN","1-2","ED3_4","T","Y50-64","PC","EU28",2017,36.2
"GEN","1-2","ED3_4","T","Y65-74","PC","EU28",2017,29
"GEN","1-2","ED3_4","T","Y_GE18","PC","EU28",2017,36.9
"GEN","1-2","ED3_4","T","Y_GE75","PC","EU28",2017,23.4
"GEN","1-2","ED5-8","F","TOTAL","PC","EU28",2017,41.4
"GEN","1-2","ED5-8","F","Y16-24","PC","EU28",2017,45
"GEN","1-2","ED5-8","F","Y25-34","PC","EU28",2017,42.6
"GEN","1-2","ED5-8","F","Y25-64","PC","EU28",2017,42.7
"GEN","1-2","ED5-8","F","Y35-49","PC","EU28",2017,44.2
"GEN","1-2","ED5-8","F","Y50-64","PC","EU28",2017,40.8
