"med_spec","frequenc","wstatus","deg_urb","quantile","unit","geo","time","values"
"GEN","1-2","EMP","DEG1","QU1","PC","EU28",2017,40.2
"GEN","1-2","EMP","DEG1","QU2","PC","EU28",2017,39.3
"GEN","1-2","EMP","DEG1","QU3","PC","EU28",2017,41.1
"GEN","1-2","EMP","DEG1","QU4","PC","EU28",2017,42.9
"GEN","1-2","EMP","DEG1","QU5","PC","EU28",2017,44
"GEN","1-2","EMP","DEG1","TOTAL","PC","EU28",2017,42.2
"GEN","1-2","EMP","DEG2","QU1","PC","EU28",2017,40.1
"GEN","1-2","EMP","DEG2","QU2","PC","EU28",2017,41.1
"GEN","1-2","EMP","DEG2","QU3","PC","EU28",2017,42.4
"GEN","1-2","EMP","DEG2","QU4","PC","EU28",2017,43.4
"GEN","1-2","EMP","DEG2","QU5","PC","EU28",2017,43.9
"GEN","1-2","EMP","DEG2","TOTAL","PC","EU28",2017,42.7
"GEN","1-2","EMP","DEG3","QU1","PC","EU28",2017,35.4
"GEN","1-2","EMP","DEG3","QU2","PC","EU28",2017,40.2
"GEN","1-2","EMP","DEG3","QU3","PC","EU28",2017,41.3
"GEN","1-2","EMP","DEG3","QU4","PC","EU28",2017,43.2
"GEN","1-2","EMP","DEG3","QU5","PC","EU28",2017,44.2
"GEN","1-2","EMP","DEG3","TOTAL","PC","EU28",2017,41.4
"GEN","1-2","EMP","TOTAL","QU1","PC","EU28",2017,38.6
"GEN","1-2","EMP","TOTAL","QU2","PC","EU28",2017,40.2
"GEN","1-2","EMP","TOTAL","QU3","PC","EU28",2017,41.6
"GEN","1-2","EMP","TOTAL","QU4","PC","EU28",2017,43.2
"GEN","1-2","EMP","TOTAL","QU5","PC","EU28",2017,44
"GEN","1-2","EMP","TOTAL","TOTAL","PC","EU28",2017,42.1
"GEN","1-2","INAC_OTH","DEG1","QU1","PC","EU28",2017,36
"GEN","1-2","INAC_OTH","DEG1","QU2","PC","EU28",2017,38.2
"GEN","1-2","INAC_OTH","DEG1","QU3","PC","EU28",2017,39.2
"GEN","1-2","INAC_OTH","DEG1","QU4","PC","EU28",2017,40.2
"GEN","1-2","INAC_OTH","DEG1","QU5","PC","EU28",2017,43.3
"GEN","1-2","INAC_OTH","DEG1","TOTAL","PC","EU28",2017,38.5
"GEN","1-2","INAC_OTH","DEG2","QU1","PC","EU28",2017,34.8
"GEN","1-2","INAC_OTH","DEG2","QU2","PC","EU28",2017,37.4
"GEN","1-2","INAC_OTH","DEG2","QU3","PC","EU28",2017,38.8
"GEN","1-2","INAC_OTH","DEG2","QU4","PC","EU28",2017,39.6
"GEN","1-2","INAC_OTH","DEG2","QU5","PC","EU28",2017,41.4
"GEN","1-2","INAC_OTH","DEG2","TOTAL","PC","EU28",2017,37.7
"GEN","1-2","INAC_OTH","DEG3","QU1","PC","EU28",2017,31.9
"GEN","1-2","INAC_OTH","DEG3","QU2","PC","EU28",2017,34.7
"GEN","1-2","INAC_OTH","DEG3","QU3","PC","EU28",2017,36.6
"GEN","1-2","INAC_OTH","DEG3","QU4","PC","EU28",2017,37.1
"GEN","1-2","INAC_OTH","DEG3","QU5","PC","EU28",2017,40.4
"GEN","1-2","INAC_OTH","DEG3","TOTAL","PC","EU28",2017,35
"GEN","1-2","INAC_OTH","TOTAL","QU1","PC","EU28",2017,34.5
"GEN","1-2","INAC_OTH","TOTAL","QU2","PC","EU28",2017,36.9
"GEN","1-2","INAC_OTH","TOTAL","QU3","PC","EU28",2017,38.3
"GEN","1-2","INAC_OTH","TOTAL","QU4","PC","EU28",2017,39.2
"GEN","1-2","INAC_OTH","TOTAL","QU5","PC","EU28",2017,42.1
"GEN","1-2","INAC_OTH","TOTAL","TOTAL","PC","EU28",2017,37.3
"GEN","1-2","POP","DEG1","QU1","PC","EU28",2017,34.2
"GEN","1-2","POP","DEG1","QU2","PC","EU28",2017,35.3
"GEN","1-2","POP","DEG1","QU3","PC","EU28",2017,37.6
"GEN","1-2","POP","DEG1","QU4","PC","EU28",2017,39.3
"GEN","1-2","POP","DEG1","QU5","PC","EU28",2017,42.2
"GEN","1-2","POP","DEG1","TOTAL","PC","EU28",2017,38.1
"GEN","1-2","POP","DEG2","QU1","PC","EU28",2017,33.7
"GEN","1-2","POP","DEG2","QU2","PC","EU28",2017,35.7
"GEN","1-2","POP","DEG2","QU3","PC","EU28",2017,38.3
"GEN","1-2","POP","DEG2","QU4","PC","EU28",2017,40.8
"GEN","1-2","POP","DEG2","QU5","PC","EU28",2017,41.9
"GEN","1-2","POP","DEG2","TOTAL","PC","EU28",2017,38.2
"GEN","1-2","POP","DEG3","QU1","PC","EU28",2017,31.3
"GEN","1-2","POP","DEG3","QU2","PC","EU28",2017,34.5
"GEN","1-2","POP","DEG3","QU3","PC","EU28",2017,36.6
"GEN","1-2","POP","DEG3","QU4","PC","EU28",2017,39.4
