Acronym,Disease
A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98
A-T_Z_XNB,All causes of diseases (A00-Z99) excluding V00-Y98 and Z38
A_B,Certain infectious and parasitic diseases (A00-B99)
A15-A19_B90,Tuberculosis
A00-A08,Intestinal infectious diseases except diarrhoea
A09,Diarrhoea and gastroenteritis of presumed infectious origin
A40_A41,Septicaemia
B20-B24,Human immunodeficiency virus [HIV] disease
A_B_OTH,Other infectious and parasitic diseases (remainder of A00-B99)
C00-D48,Neoplasms
C18-C21,"Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal"
C33_C34,"Malignant neoplasm of trachea, bronchus and lung"
C43_C44,Malignant neoplasms of skin
C50,Malignant neoplasm of breast
C53-C55,Malignant neoplasm of uterus
C56,Malignant neoplasm of ovary
C61,Malignant neoplasm of prostate
C67,Malignant neoplasm of bladder
C_OTH,Other malignant neoplasms (remainder of C00-C97)
D00-D09,In situ neoplasms
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D25,Leiomyoma of uterus
D00-D48_OTH,"Other in situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour (remainder of D00-D48)"
D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D50-D64,Anaemias
D65-D89,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
E,"Endocrine, nutritional and metabolic diseases (E00-E90)"
E10-E14,Diabetes mellitus
E_OTH,"Other endocrine, nutritional and metabolic diseases (remainder of E00-E90)"
F,Mental and behavioural disorders (F00-F99)
F00-F03,Dementia
F10,Mental and behavioural disorders due to use of alcohol
F11-F19,Mental and behavioural disorders due to psychoactive substance use
F20-F29,"Schizophrenia, schizotypal and delusional disorders"
F30-F39,Mood [affective] disorders
F_OTH,Other mental and behavioural disorders (remainder of F00-F99)
G,Diseases of the nervous system (G00-G99)
G30,Alzheimer disease
G35,Multiple sclerosis
G40_G41,"Epilepsy, status epilepticus"
G45,Transient cerebral ischaemic attacks and related syndromes
G_OTH,Other diseases of the nervous system (remainder of G00-G99)
H00-H59,Diseases of the eye and adnexa
H25_H26_H28,Cataract
H00-H59_OTH,Other diseases of the eye and adnexa (remainder of H00-H59)
H60-H95,Diseases of the ear and mastoid process
I,Diseases of the circulatory system (I00-I99)
I10-I15,Hypertensive diseases
I20,Angina pectoris
I21_I22,Acute myocardial infarction including subsequent myocardial infarction
I23-I25,Other ischaemic heart disease
I26-I28,Pulmonary heart disease and diseases of pulmonary circulation
I44-I49,Conduction disorders and cardiac arrhythmias
I50,Heart failure
I60-I69,Cerebrovascular diseases
I70,Atherosclerosis
I83,Varicose veins of lower extremities
