"isco08","unit","geo","time","values"
"OC221","HAB_P","AT",2017,6938.14
"OC221","HAB_P","BE",2017,6754.84
"OC221","HAB_P","BG",2017,6726.18
"OC221","HAB_P","CH",2017,8934.29
"OC221","HAB_P","CZ",2017,5837.16
"OC221","HAB_P","DE",2017,8325.64
"OC221","HAB_P","EE",2017,8724.4
"OC221","HAB_P","ES",2017,6903.72
"OC221","HAB_P","EU28",2017,7515.54
"OC221","HAB_P","HR",2017,7132.73
"OC221","HAB_P","HU",2017,6941.82
"OC221","HAB_P","IE",2017,4019.55
"OC221","HAB_P","IS",2017,6867.99
"OC221","HAB_P","LT",2017,5189.73
"OC221","HAB_P","LV",2017,5763.35
"OC221","HAB_P","MT",2017,3038.95
"OC221","HAB_P","NL",2017,6268.31
"OC221","HAB_P","NO",2017,9005.06
"OC221","HAB_P","PL",2017,9135.15
"OC221","HAB_P","PT",2017,6216.23
"OC221","HAB_P","RO",2017,4248.91
"OC221","HAB_P","RS",2017,5384.09
"OC221","HAB_P","SE",2017,8723.07
"OC221","HAB_P","SI",2017,5724.07
"OC221","HAB_P","TR",2017,9415.32
"OC221","HAB_P","UK",2017,7771.63
"OC221","NR","AT",2017,1268
"OC221","NR","BE",2017,1684
"OC221","NR","BG",2017,1052
"OC221","NR","CH",2017,946
"OC221","NR","CY",2017,0
"OC221","NR","CZ",2017,1815
"OC221","NR","DE",2017,9928
"OC221","NR","EE",2017,151
"OC221","NR","ES",2017,6749
"OC221","NR","EU28",2017,68109
"OC221","NR","HR",2017,579
"OC221","NR","HU",2017,1410
"OC221","NR","IE",2017,1196
"OC221","NR","IS",2017,50
"OC221","NR","LI",2017,0
"OC221","NR","LT",2017,545
"OC221","NR","LU",2017,0
"OC221","NR","LV",2017,337
"OC221","NR","MT",2017,154
"OC221","NR","NL",2017,2733
"OC221","NR","NO",2017,586
"OC221","NR","PL",2017,4157
"OC221","NR","PT",2017,1657
"OC221","NR","RO",2017,4610
"OC221","NR","RS",2017,1304
"OC221","NR","SE",2017,1153
"OC221","NR","SI",2017,361
"OC221","NR","TR",2017,8530
"OC221","NR","UK",2017,8500
"OC221","P_HTHAB","AT",2017,14.41
"OC221","P_HTHAB","BE",2017,14.8
"OC221","P_HTHAB","BG",2017,14.87
"OC221","P_HTHAB","CH",2017,11.19
"OC221","P_HTHAB","CY",2017,0
"OC221","P_HTHAB","CZ",2017,17.13
"OC221","P_HTHAB","DE",2017,12.01
"OC221","P_HTHAB","EE",2017,11.46
"OC221","P_HTHAB","ES",2017,14.48
"OC221","P_HTHAB","EU28",2017,13.31
"OC221","P_HTHAB","HR",2017,14.02
"OC221","P_HTHAB","HU",2017,14.41
"OC221","P_HTHAB","IE",2017,24.88
"OC221","P_HTHAB","IS",2017,14.56
"OC221","P_HTHAB","LI",2017,0
"OC221","P_HTHAB","LT",2017,19.27
"OC221","P_HTHAB","LU",2017,0
"OC221","P_HTHAB","LV",2017,17.35
"OC221","P_HTHAB","MT",2017,32.91
"OC221","P_HTHAB","NL",2017,15.95
"OC221","P_HTHAB","NO",2017,11.1
