"unit","isco08","geo","time","values"
"P_HTHAB","OC221","AT",2017,518.28
"P_HTHAB","OC221","AT11",2017,407.1
"P_HTHAB","OC221","AT12",2017,459.17
"P_HTHAB","OC221","AT13",2017,684.97
"P_HTHAB","OC221","AT21",2017,464.89
"P_HTHAB","OC221","AT22",2017,511.24
"P_HTHAB","OC221","AT31",2017,417.61
"P_HTHAB","OC221","AT32",2017,560.15
"P_HTHAB","OC221","AT33",2017,545.38
"P_HTHAB","OC221","AT34",2017,418.97
"P_HTHAB","OC221","BE",2017,308.29
"P_HTHAB","OC221","BE10",2017,382.69
"P_HTHAB","OC221","BE21",2017,263.1
"P_HTHAB","OC221","BE22",2017,249.2
"P_HTHAB","OC221","BE23",2017,281.62
"P_HTHAB","OC221","BE24",2017,397.67
"P_HTHAB","OC221","BE25",2017,253.88
"P_HTHAB","OC221","BE31",2017,508.71
"P_HTHAB","OC221","BE32",2017,252.88
"P_HTHAB","OC221","BE33",2017,351.15
"P_HTHAB","OC221","BE34",2017,227.87
"P_HTHAB","OC221","BE35",2017,345.5
"P_HTHAB","OC221","BG",2017,424.49
"P_HTHAB","OC221","BG31",2017,447.57
"P_HTHAB","OC221","BG32",2017,332.91
"P_HTHAB","OC221","BG33",2017,401.82
"P_HTHAB","OC221","BG34",2017,348.38
"P_HTHAB","OC221","BG41",2017,444.44
"P_HTHAB","OC221","BG42",2017,406.19
"P_HTHAB","OC221","CH",2017,429.78
"P_HTHAB","OC221","CH01",2017,489.12
"P_HTHAB","OC221","CH02",2017,388.53
"P_HTHAB","OC221","CH03",2017,452.12
"P_HTHAB","OC221","CH04",2017,522.54
"P_HTHAB","OC221","CH05",2017,349.31
"P_HTHAB","OC221","CH06",2017,314.7
"P_HTHAB","OC221","CH07",2017,436.67
"P_HTHAB","OC221","CY",2017,386.84
"P_HTHAB","OC221","CY00",2017,386.84
"P_HTHAB","OC221","DE",2017,424.88
"P_HTHAB","OC221","DE1",2017,405.54
"P_HTHAB","OC221","DE2",2017,442.11
"P_HTHAB","OC221","DE3",2017,534.53
"P_HTHAB","OC221","DE4",2017,370.78
"P_HTHAB","OC221","DE5",2017,546.41
"P_HTHAB","OC221","DE6",2017,622.08
"P_HTHAB","OC221","DE7",2017,406.06
"P_HTHAB","OC221","DE8",2017,429.26
"P_HTHAB","OC221","DE9",2017,373.61
"P_HTHAB","OC221","DEA",2017,429.17
"P_HTHAB","OC221","DEB",2017,393.82
"P_HTHAB","OC221","DEC",2017,470.66
"P_HTHAB","OC221","DED",2017,403.01
"P_HTHAB","OC221","DEE",2017,394.9
"P_HTHAB","OC221","DEF",2017,421.15
"P_HTHAB","OC221","DEG",2017,414.54
"P_HTHAB","OC221","EE",2017,346.82
"P_HTHAB","OC221","EE00",2017,346.82
"P_HTHAB","OC221","EL",2017,606.62
"P_HTHAB","OC221","EL30",2017,791.92
"P_HTHAB","OC221","EL41",2017,365.93
"P_HTHAB","OC221","EL42",2017,332.72
"P_HTHAB","OC221","EL43",2017,636.09
"P_HTHAB","OC221","EL51",2017,494.86
"P_HTHAB","OC221","EL52",2017,612.71
"P_HTHAB","OC221","EL53",2017,356.57
"P_HTHAB","OC221","EL54",2017,667.87
"P_HTHAB","OC221","EL61",2017,522.26
"P_HTHAB","OC221","EL62",2017,483.91
"P_HTHAB","OC221","EL63",2017,500.97
"P_HTHAB","OC221","EL64",2017,287.21
"P_HTHAB","OC221","EL65",2017,369.92
"P_HTHAB","OC221","ES",2017,387.68
"P_HTHAB","OC221","ES11",2017,457.13
"P_HTHAB","OC221","ES12",2017,420.58
"P_HTHAB","OC221","ES13",2017,516.35
"P_HTHAB","OC221","ES21",2017,498.18
"P_HTHAB","OC221","ES22",2017,540.25
"P_HTHAB","OC221","ES23",2017,490.48
"P_HTHAB","OC221","ES24",2017,497.26
"P_HTHAB","OC221","ES30",2017,445.5
"P_HTHAB","OC221","ES41",2017,417.71
"P_HTHAB","OC221","ES42",2017,304.55
"P_HTHAB","OC221","ES43",2017,254.66
"P_HTHAB","OC221","ES51",2017,350.72
"P_HTHAB","OC221","ES52",2017,378.69
"P_HTHAB","OC221","ES53",2017,281.98
"P_HTHAB","OC221","ES61",2017,323.23
"P_HTHAB","OC221","ES62",2017,436.62
"P_HTHAB","OC221","ES63",2017,783.59
"P_HTHAB","OC221","ES70",2017,371.1
"P_HTHAB","OC221","EU28",2017,363.56
"P_HTHAB","OC221","FR",2017,336.62
"P_HTHAB","OC221","FR10",2017,393.88
"P_HTHAB","OC221","FRB0",2017,264.67
"P_HTHAB","OC221","FRC1",2017,291.77
"P_HTHAB","OC221","FRC2",2017,303.98
"P_HTHAB","OC221","FRD1",2017,304.15
"P_HTHAB","OC221","FRD2",2017,274.5
"P_HTHAB","OC221","FRE1",2017,321.53
"P_HTHAB","OC221","FRE2",2017,261.05
"P_HTHAB","OC221","FRF1",2017,362.83
"P_HTHAB","OC221","FRF2",2017,286.15
"P_HTHAB","OC221","FRF3",2017,306.13
"P_HTHAB","OC221","FRG0",2017,287.92
"P_HTHAB","OC221","FRH0",2017,320.4
"P_HTHAB","OC221","FRI1",2017,356.83
"P_HTHAB","OC221","FRI2",2017,339.03
"P_HTHAB","OC221","FRI3",2017,294.76
"P_HTHAB","OC221","FRJ1",2017,362.86
