"unit","facility","geo","time","values"
"P_HTHAB","HBEDI_PSY","EU28",2017,71.5
"P_HTHAB","HBEDT","AT",2017,736.62
"P_HTHAB","HBEDT","AT11",2017,620.24
"P_HTHAB","HBEDT","AT12",2017,672.58
"P_HTHAB","HBEDT","AT13",2017,783.58
"P_HTHAB","HBEDT","AT21",2017,810
"P_HTHAB","HBEDT","AT22",2017,821.95
"P_HTHAB","HBEDT","AT31",2017,689.64
"P_HTHAB","HBEDT","AT32",2017,898.13
"P_HTHAB","HBEDT","AT33",2017,674.68
"P_HTHAB","HBEDT","AT34",2017,562.98
"P_HTHAB","HBEDT","BE",2017,566.35
"P_HTHAB","HBEDT","BE10",2017,716.3
"P_HTHAB","HBEDT","BE21",2017,560.25
"P_HTHAB","HBEDT","BE22",2017,485.08
"P_HTHAB","HBEDT","BE23",2017,608.44
"P_HTHAB","HBEDT","BE24",2017,425.09
"P_HTHAB","HBEDT","BE25",2017,683.68
"P_HTHAB","HBEDT","BE31",2017,236.63
"P_HTHAB","HBEDT","BE32",2017,607.79
"P_HTHAB","HBEDT","BE33",2017,570.08
"P_HTHAB","HBEDT","BE34",2017,410.09
"P_HTHAB","HBEDT","BE35",2017,517.75
"P_HTHAB","HBEDT","BG",2017,745.4
"P_HTHAB","HBEDT","BG31",2017,769.15
"P_HTHAB","HBEDT","BG32",2017,645.45
"P_HTHAB","HBEDT","BG33",2017,511.7
"P_HTHAB","HBEDT","BG34",2017,656.29
"P_HTHAB","HBEDT","BG41",2017,701.04
"P_HTHAB","HBEDT","BG42",2017,816.88
"P_HTHAB","HBEDT","CH",2017,452.72
"P_HTHAB","HBEDT","CH01",2017,471.92
"P_HTHAB","HBEDT","CH02",2017,402.96
"P_HTHAB","HBEDT","CH03",2017,540.44
"P_HTHAB","HBEDT","CH04",2017,425.89
"P_HTHAB","HBEDT","CH05",2017,507.02
"P_HTHAB","HBEDT","CH06",2017,331.27
"P_HTHAB","HBEDT","CH07",2017,552.48
"P_HTHAB","HBEDT","CZ",2017,662.71
"P_HTHAB","HBEDT","CZ01",2017,841.31
"P_HTHAB","HBEDT","CZ02",2017,509.25
"P_HTHAB","HBEDT","CZ03",2017,663.05
"P_HTHAB","HBEDT","CZ04",2017,632.6
"P_HTHAB","HBEDT","CZ05",2017,635.32
"P_HTHAB","HBEDT","CZ06",2017,701.5
"P_HTHAB","HBEDT","CZ07",2017,634.55
"P_HTHAB","HBEDT","CZ08",2017,679.12
"P_HTHAB","HBEDT","DE",2017,800.23
"P_HTHAB","HBEDT","DE1",2017,741.74
"P_HTHAB","HBEDT","DE2",2017,815.34
"P_HTHAB","HBEDT","DE3",2017,579.66
"P_HTHAB","HBEDT","DE4",2017,826.98
"P_HTHAB","HBEDT","DE5",2017,790.57
"P_HTHAB","HBEDT","DE6",2017,709.69
"P_HTHAB","HBEDT","DE7",2017,838.42
"P_HTHAB","HBEDT","DE8",2017,1285.31
"P_HTHAB","HBEDT","DE9",2017,746.12
"P_HTHAB","HBEDT","DEA",2017,776.67
"P_HTHAB","HBEDT","DEB",2017,795.51
"P_HTHAB","HBEDT","DEC",2017,928.35
"P_HTHAB","HBEDT","DED",2017,848.97
"P_HTHAB","HBEDT","DEE",2017,872.42
"P_HTHAB","HBEDT","DEF",2017,899.69
"P_HTHAB","HBEDT","DEG",2017,996.02
"P_HTHAB","HBEDT","DK",2017,260.83
"P_HTHAB","HBEDT","DK01",2017,306.72
"P_HTHAB","HBEDT","DK02",2017,294.68
"P_HTHAB","HBEDT","DK03",2017,229.12
"P_HTHAB","HBEDT","DK04",2017,220.49
"P_HTHAB","HBEDT","DK05",2017,226.78
"P_HTHAB","HBEDT","EE",2017,469.49
"P_HTHAB","HBEDT","EE00",2017,469.49
"P_HTHAB","HBEDT","EL",2017,420.91
"P_HTHAB","HBEDT","EL30",2017,505.71
"P_HTHAB","HBEDT","EL41",2017,303.73
"P_HTHAB","HBEDT","EL42",2017,311.22
"P_HTHAB","HBEDT","EL43",2017,381.62
"P_HTHAB","HBEDT","EL51",2017,402
"P_HTHAB","HBEDT","EL52",2017,450.78
"P_HTHAB","HBEDT","EL53",2017,407.24
