"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT",2017,82
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT11",2017,88.8
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT12",2017,18.5
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT13",2017,199.7
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT21",2017,7
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT22",2017,55.1
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT31",2017,87.7
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT32",2017,61.8
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT33",2017,25.8
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","AT34",2017,85.4
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE",2017,147.5
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE10",2017,180.9
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE21",2017,183.5
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE22",2017,147.9
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE23",2017,115.7
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE24",2017,163.4
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE25",2017,145.2
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE31",2017,153.2
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE32",2017,169.2
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE33",2017,93.7
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE34",2017,23.8
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","BE35",2017,123.5
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","CY",2017,40.4
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","CZ",2017,3.4
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","CZ01",2017,7.3
"TOTAL","ONE_DAY","P_HTHAB",FALSE,"E","CZ02",2017,2.3
