"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT",2017,80.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT11",2017,70.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT12",2017,33.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT13",2017,145.8
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT21",2017,3.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT22",2017,58.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT31",2017,114.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT32",2017,96.5
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT33",2017,17.1
"TOTAL","ONE_DAY","P_HTHAB","M","E","AT34",2017,129.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE",2017,177.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE10",2017,233.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE21",2017,191.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE22",2017,108
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE23",2017,143.2
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE24",2017,183.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE25",2017,152.8
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE31",2017,225.9
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE32",2017,275.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE33",2017,77.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE34",2017,42.9
"TOTAL","ONE_DAY","P_HTHAB","M","E","BE35",2017,267.2
"TOTAL","ONE_DAY","P_HTHAB","M","E","CY",2017,45.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ",2017,4.1
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ01",2017,7
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ02",2017,2.4
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ03",2017,4.8
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ04",2017,2.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ05",2017,2
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ06",2017,8.7
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ07",2017,1.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","CZ08",2017,2.4
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE",2017,10.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE1",2017,10.3
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE2",2017,12
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE30",2017,13.6
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE40",2017,10.8
"TOTAL","ONE_DAY","P_HTHAB","M","E","DE50",2017,12.8
