"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT",2017,81.3
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT11",2017,79.7
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT12",2017,26
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT13",2017,173.5
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT21",2017,5.2
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT22",2017,56.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT31",2017,100.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT32",2017,78.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT33",2017,21.5
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","AT34",2017,107.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE",2017,162.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE10",2017,206.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE21",2017,187.5
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE22",2017,128
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE23",2017,129.3
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE24",2017,173.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE25",2017,149
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE31",2017,188.5
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE32",2017,221
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE33",2017,85.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE34",2017,33.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","BE35",2017,194.1
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CY",2017,42.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ",2017,3.7
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ01",2017,7.1
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ02",2017,2.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ03",2017,3.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ04",2017,1.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ05",2017,2.1
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ06",2017,7.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ07",2017,1.3
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","CZ08",2017,1.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE",2017,10.7
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE1",2017,10.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE2",2017,12.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE30",2017,17.9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE40",2017,11.2
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE50",2017,14.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE60",2017,9.7
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE7",2017,9.8
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE80",2017,10.2
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DE9",2017,12.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEA",2017,9
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEB",2017,11.5
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEC0",2017,13.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DED",2017,5.6
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEE0",2017,8.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEF0",2017,13.1
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","DEG0",2017,7.6
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","EE",2017,317.4
"TOTAL","ONE_DAY","P_HTHAB",TRUE,"E","ES",2017,133
