"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT",2017,717.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT11",2017,635.4
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT12",2017,635.7
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT13",2017,840
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT21",2017,961.2
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT22",2017,668.6
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT31",2017,630.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT32",2017,827
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT33",2017,739.5
"TOTAL","INPAT","P_HTHAB",FALSE,"E","AT34",2017,467.3
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE",2017,612.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE10",2017,697.2
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE21",2017,553.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE22",2017,589.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE23",2017,585.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE24",2017,486.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE25",2017,538.4
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE31",2017,486.3
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE32",2017,753.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE33",2017,763.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE34",2017,569.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BE35",2017,605.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG",2017,1116.3
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG31",2017,1059.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG32",2017,621.8
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG33",2017,607.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG34",2017,707.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG41",2017,1254.5
"TOTAL","INPAT","P_HTHAB",FALSE,"E","BG42",2017,1851.4
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CH",2017,312
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CY",2017,194.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ",2017,588.2
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ01",2017,801.7
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ02",2017,394.1
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ03",2017,596.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ04",2017,417.3
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ05",2017,533.4
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ06",2017,532.2
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ07",2017,692.2
"TOTAL","INPAT","P_HTHAB",FALSE,"E","CZ08",2017,762.9
"TOTAL","INPAT","P_HTHAB",FALSE,"E","DE",2017,736.8
