"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","E","AT",2017,572.1
"TOTAL","INPAT","P_HTHAB","M","E","AT11",2017,526.5
"TOTAL","INPAT","P_HTHAB","M","E","AT12",2017,689.3
"TOTAL","INPAT","P_HTHAB","M","E","AT13",2017,514.1
"TOTAL","INPAT","P_HTHAB","M","E","AT21",2017,772.9
"TOTAL","INPAT","P_HTHAB","M","E","AT22",2017,585.1
"TOTAL","INPAT","P_HTHAB","M","E","AT31",2017,492.9
"TOTAL","INPAT","P_HTHAB","M","E","AT32",2017,666
"TOTAL","INPAT","P_HTHAB","M","E","AT33",2017,528.6
"TOTAL","INPAT","P_HTHAB","M","E","AT34",2017,308.9
"TOTAL","INPAT","P_HTHAB","M","E","BE",2017,398.1
"TOTAL","INPAT","P_HTHAB","M","E","BE10",2017,402.6
"TOTAL","INPAT","P_HTHAB","M","E","BE21",2017,379.4
"TOTAL","INPAT","P_HTHAB","M","E","BE22",2017,381.2
"TOTAL","INPAT","P_HTHAB","M","E","BE23",2017,427.6
"TOTAL","INPAT","P_HTHAB","M","E","BE24",2017,321.9
"TOTAL","INPAT","P_HTHAB","M","E","BE25",2017,388.1
"TOTAL","INPAT","P_HTHAB","M","E","BE31",2017,335.5
"TOTAL","INPAT","P_HTHAB","M","E","BE32",2017,465.1
"TOTAL","INPAT","P_HTHAB","M","E","BE33",2017,450.9
"TOTAL","INPAT","P_HTHAB","M","E","BE34",2017,344
"TOTAL","INPAT","P_HTHAB","M","E","BE35",2017,380
"TOTAL","INPAT","P_HTHAB","M","E","BG",2017,831.5
"TOTAL","INPAT","P_HTHAB","M","E","BG31",2017,950.2
"TOTAL","INPAT","P_HTHAB","M","E","BG32",2017,547.4
"TOTAL","INPAT","P_HTHAB","M","E","BG33",2017,462.6
"TOTAL","INPAT","P_HTHAB","M","E","BG34",2017,570.5
"TOTAL","INPAT","P_HTHAB","M","E","BG41",2017,874.3
"TOTAL","INPAT","P_HTHAB","M","E","BG42",2017,1299.9
"TOTAL","INPAT","P_HTHAB","M","E","CH",2017,226.4
"TOTAL","INPAT","P_HTHAB","M","E","CY",2017,121.9
"TOTAL","INPAT","P_HTHAB","M","E","CZ",2017,464.1
