"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT",2017,646.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT11",2017,581.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT12",2017,662.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT13",2017,681.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT21",2017,869.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT22",2017,627.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT31",2017,562.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT32",2017,748.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT33",2017,635.5
"TOTAL","INPAT","P_HTHAB",TRUE,"E","AT34",2017,388.7
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE",2017,506.7
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE10",2017,552.8
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE21",2017,467.3
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE22",2017,485.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE23",2017,507.3
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE24",2017,406
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE25",2017,463.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE31",2017,413.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE32",2017,613.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE33",2017,610.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE34",2017,457.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BE35",2017,494.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG",2017,978
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG31",2017,1006.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG32",2017,585.6
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG33",2017,536.6
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG34",2017,641.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG41",2017,1071
"TOTAL","INPAT","P_HTHAB",TRUE,"E","BG42",2017,1583.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CH",2017,269.6
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CY",2017,158.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ",2017,527.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ01",2017,698.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ02",2017,364.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ03",2017,545.8
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ04",2017,382.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ05",2017,481.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ06",2017,483.3
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ07",2017,622.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","CZ08",2017,664.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE",2017,671.6
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE1",2017,599
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE2",2017,655.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE30",2017,602.8
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE40",2017,695.4
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE50",2017,732.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE60",2017,709.5
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE7",2017,720.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE80",2017,995.9
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DE9",2017,599.1
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DEA",2017,671.5
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DEB",2017,610.7
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DEC0",2017,714.2
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DED",2017,777.5
"TOTAL","INPAT","P_HTHAB",TRUE,"E","DEE0",2017,856.7
