"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ALOS","NR",FALSE,"E","AT",2017,8.7
"TOTAL","ALOS","NR",FALSE,"E","AT11",2017,6.1
"TOTAL","ALOS","NR",FALSE,"E","AT12",2017,10.3
"TOTAL","ALOS","NR",FALSE,"E","AT13",2017,9.3
"TOTAL","ALOS","NR",FALSE,"E","AT21",2017,7.6
"TOTAL","ALOS","NR",FALSE,"E","AT22",2017,11.4
"TOTAL","ALOS","NR",FALSE,"E","AT31",2017,7.3
"TOTAL","ALOS","NR",FALSE,"E","AT32",2017,8.2
"TOTAL","ALOS","NR",FALSE,"E","AT33",2017,5.9
"TOTAL","ALOS","NR",FALSE,"E","AT34",2017,4.8
"TOTAL","ALOS","NR",FALSE,"E","BE",2017,5.4
"TOTAL","ALOS","NR",FALSE,"E","BE10",2017,5.1
"TOTAL","ALOS","NR",FALSE,"E","BE21",2017,5.2
"TOTAL","ALOS","NR",FALSE,"E","BE22",2017,5.1
"TOTAL","ALOS","NR",FALSE,"E","BE23",2017,5.4
"TOTAL","ALOS","NR",FALSE,"E","BE24",2017,5.4
"TOTAL","ALOS","NR",FALSE,"E","BE25",2017,5.7
"TOTAL","ALOS","NR",FALSE,"E","BE31",2017,5.7
"TOTAL","ALOS","NR",FALSE,"E","BE32",2017,5.9
"TOTAL","ALOS","NR",FALSE,"E","BE33",2017,5.4
"TOTAL","ALOS","NR",FALSE,"E","BE34",2017,5.2
"TOTAL","ALOS","NR",FALSE,"E","BE35",2017,6
"TOTAL","ALOS","NR",FALSE,"E","CH",2017,6.4
"TOTAL","ALOS","NR",FALSE,"E","CY",2017,4.8
"TOTAL","ALOS","NR",FALSE,"E","CZ",2017,9.5
"TOTAL","ALOS","NR",FALSE,"E","CZ01",2017,9
"TOTAL","ALOS","NR",FALSE,"E","CZ02",2017,12.1
"TOTAL","ALOS","NR",FALSE,"E","CZ03",2017,8.7
"TOTAL","ALOS","NR",FALSE,"E","CZ04",2017,10.6
"TOTAL","ALOS","NR",FALSE,"E","CZ05",2017,10.2
"TOTAL","ALOS","NR",FALSE,"E","CZ06",2017,9.7
"TOTAL","ALOS","NR",FALSE,"E","CZ07",2017,8.5
"TOTAL","ALOS","NR",FALSE,"E","CZ08",2017,8.9
"TOTAL","ALOS","NR",FALSE,"E","DE",2017,7.9
"TOTAL","ALOS","NR",FALSE,"E","DE1",2017,8.2
"TOTAL","ALOS","NR",FALSE,"E","DE2",2017,8
"TOTAL","ALOS","NR",FALSE,"E","DE30",2017,7.3
"TOTAL","ALOS","NR",FALSE,"E","DE40",2017,8.5
"TOTAL","ALOS","NR",FALSE,"E","DE50",2017,6.7
"TOTAL","ALOS","NR",FALSE,"E","DE60",2017,6.6
"TOTAL","ALOS","NR",FALSE,"E","DE7",2017,8.5
"TOTAL","ALOS","NR",FALSE,"E","DE80",2017,8.7
"TOTAL","ALOS","NR",FALSE,"E","DE9",2017,7.1
"TOTAL","ALOS","NR",FALSE,"E","DEA",2017,7.2
"TOTAL","ALOS","NR",FALSE,"E","DEB",2017,8.8
"TOTAL","ALOS","NR",FALSE,"E","DEC0",2017,7.5
"TOTAL","ALOS","NR",FALSE,"E","DED",2017,7.7
"TOTAL","ALOS","NR",FALSE,"E","DEE0",2017,7.9
"TOTAL","ALOS","NR",FALSE,"E","DEF0",2017,10.3
"TOTAL","ALOS","NR",FALSE,"E","DEG0",2017,8.3
"TOTAL","ALOS","NR",FALSE,"E","ES",2017,6
"TOTAL","ALOS","NR",FALSE,"E","ES1",2017,7.2
"TOTAL","ALOS","NR",FALSE,"E","ES11",2017,7.3
"TOTAL","ALOS","NR",FALSE,"E","ES12",2017,7
"TOTAL","ALOS","NR",FALSE,"E","ES13",2017,7.3
"TOTAL","ALOS","NR",FALSE,"E","ES2",2017,5.9
"TOTAL","ALOS","NR",FALSE,"E","ES21",2017,5.1
"TOTAL","ALOS","NR",FALSE,"E","ES22",2017,7.2
"TOTAL","ALOS","NR",FALSE,"E","ES23",2017,8.6
"TOTAL","ALOS","NR",FALSE,"E","ES24",2017,6.1
"TOTAL","ALOS","NR",FALSE,"E","ES30",2017,5
"TOTAL","ALOS","NR",FALSE,"E","ES4",2017,6.3
"TOTAL","ALOS","NR",FALSE,"E","ES41",2017,6.6
"TOTAL","ALOS","NR",FALSE,"E","ES42",2017,5.9
"TOTAL","ALOS","NR",FALSE,"E","ES43",2017,6.1
"TOTAL","ALOS","NR",FALSE,"E","ES5",2017,5.9
"TOTAL","ALOS","NR",FALSE,"E","ES51",2017,6.5
"TOTAL","ALOS","NR",FALSE,"E","ES52",2017,4.8
"TOTAL","ALOS","NR",FALSE,"E","ES53",2017,5.8
"TOTAL","ALOS","NR",FALSE,"E","ES6",2017,5.5
"TOTAL","ALOS","NR",FALSE,"E","ES61",2017,5.3
"TOTAL","ALOS","NR",FALSE,"E","ES62",2017,6.2
"TOTAL","ALOS","NR",FALSE,"E","ES63",2017,5.1
"TOTAL","ALOS","NR",FALSE,"E","ES64",2017,11.1
"TOTAL","ALOS","NR",FALSE,"E","ES70",2017,8.3
