"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ALOS","NR","M","E","AT",2017,10.1
"TOTAL","ALOS","NR","M","E","AT11",2017,9.2
"TOTAL","ALOS","NR","M","E","AT12",2017,12.9
"TOTAL","ALOS","NR","M","E","AT13",2017,9
"TOTAL","ALOS","NR","M","E","AT21",2017,10
"TOTAL","ALOS","NR","M","E","AT22",2017,11.9
"TOTAL","ALOS","NR","M","E","AT31",2017,8.8
"TOTAL","ALOS","NR","M","E","AT32",2017,10.2
"TOTAL","ALOS","NR","M","E","AT33",2017,6.1
"TOTAL","ALOS","NR","M","E","AT34",2017,5.4
"TOTAL","ALOS","NR","M","E","BE",2017,6.7
"TOTAL","ALOS","NR","M","E","BE10",2017,7
"TOTAL","ALOS","NR","M","E","BE21",2017,6.5
"TOTAL","ALOS","NR","M","E","BE22",2017,5.6
"TOTAL","ALOS","NR","M","E","BE23",2017,6
"TOTAL","ALOS","NR","M","E","BE24",2017,6.9
"TOTAL","ALOS","NR","M","E","BE25",2017,6.4
"TOTAL","ALOS","NR","M","E","BE31",2017,7.2
"TOTAL","ALOS","NR","M","E","BE32",2017,7.4
"TOTAL","ALOS","NR","M","E","BE33",2017,7.1
"TOTAL","ALOS","NR","M","E","BE34",2017,7.4
"TOTAL","ALOS","NR","M","E","BE35",2017,7.7
"TOTAL","ALOS","NR","M","E","CH",2017,9
"TOTAL","ALOS","NR","M","E","CY",2017,5
"TOTAL","ALOS","NR","M","E","CZ",2017,9.9
"TOTAL","ALOS","NR","M","E","CZ01",2017,8.9
"TOTAL","ALOS","NR","M","E","CZ02",2017,11.5
"TOTAL","ALOS","NR","M","E","CZ03",2017,9.5
"TOTAL","ALOS","NR","M","E","CZ04",2017,10.7
"TOTAL","ALOS","NR","M","E","CZ05",2017,11.6
"TOTAL","ALOS","NR","M","E","CZ06",2017,10.3
"TOTAL","ALOS","NR","M","E","CZ07",2017,9
"TOTAL","ALOS","NR","M","E","CZ08",2017,8.4
"TOTAL","ALOS","NR","M","E","DE",2017,10
"TOTAL","ALOS","NR","M","E","DE1",2017,10.2
"TOTAL","ALOS","NR","M","E","DE2",2017,9.9
"TOTAL","ALOS","NR","M","E","DE30",2017,9.2
"TOTAL","ALOS","NR","M","E","DE40",2017,10.6
"TOTAL","ALOS","NR","M","E","DE50",2017,8.4
"TOTAL","ALOS","NR","M","E","DE60",2017,8.7
"TOTAL","ALOS","NR","M","E","DE7",2017,11.8
"TOTAL","ALOS","NR","M","E","DE80",2017,9.8
"TOTAL","ALOS","NR","M","E","DE9",2017,8.9
"TOTAL","ALOS","NR","M","E","DEA",2017,9.4
"TOTAL","ALOS","NR","M","E","DEB",2017,11.3
"TOTAL","ALOS","NR","M","E","DEC0",2017,10.4
"TOTAL","ALOS","NR","M","E","DED",2017,10.2
"TOTAL","ALOS","NR","M","E","DEE0",2017,10
"TOTAL","ALOS","NR","M","E","DEF0",2017,11.3
"TOTAL","ALOS","NR","M","E","DEG0",2017,10.4
"TOTAL","ALOS","NR","M","E","ES",2017,8.4
"TOTAL","ALOS","NR","M","E","ES1",2017,9.9
"TOTAL","ALOS","NR","M","E","ES11",2017,10.4
"TOTAL","ALOS","NR","M","E","ES12",2017,8.1
"TOTAL","ALOS","NR","M","E","ES13",2017,10.2
"TOTAL","ALOS","NR","M","E","ES2",2017,8.3
"TOTAL","ALOS","NR","M","E","ES21",2017,7.4
"TOTAL","ALOS","NR","M","E","ES22",2017,9.1
"TOTAL","ALOS","NR","M","E","ES23",2017,11.5
"TOTAL","ALOS","NR","M","E","ES24",2017,8.6
"TOTAL","ALOS","NR","M","E","ES30",2017,7.1
"TOTAL","ALOS","NR","M","E","ES4",2017,8.5
"TOTAL","ALOS","NR","M","E","ES41",2017,9.2
"TOTAL","ALOS","NR","M","E","ES42",2017,7.9
"TOTAL","ALOS","NR","M","E","ES43",2017,7.5
"TOTAL","ALOS","NR","M","E","ES5",2017,8.3
"TOTAL","ALOS","NR","M","E","ES51",2017,9.2
"TOTAL","ALOS","NR","M","E","ES52",2017,6.9
"TOTAL","ALOS","NR","M","E","ES53",2017,8.6
"TOTAL","ALOS","NR","M","E","ES6",2017,8.4
"TOTAL","ALOS","NR","M","E","ES61",2017,8
"TOTAL","ALOS","NR","M","E","ES62",2017,9.6
"TOTAL","ALOS","NR","M","E","ES63",2017,5.8
"TOTAL","ALOS","NR","M","E","ES64",2017,12.9
"TOTAL","ALOS","NR","M","E","ES70",2017,10.9
"TOTAL","ALOS","NR","M","E","FI",2017,6
"TOTAL","ALOS","NR","M","E","FR",2017,6.3
"TOTAL","ALOS","NR","M","E","FR10",2017,6.2
"TOTAL","ALOS","NR","M","E","FRB0",2017,6.7
"TOTAL","ALOS","NR","M","E","FRC1",2017,6.3
"TOTAL","ALOS","NR","M","E","FRC2",2017,7.1
"TOTAL","ALOS","NR","M","E","FRD1",2017,6.7
"TOTAL","ALOS","NR","M","E","FRD2",2017,6.2
"TOTAL","ALOS","NR","M","E","FRE1",2017,5.9
"TOTAL","ALOS","NR","M","E","FRE2",2017,6.2
"TOTAL","ALOS","NR","M","E","FRF1",2017,6.7
"TOTAL","ALOS","NR","M","E","FRF2",2017,6.6
"TOTAL","ALOS","NR","M","E","FRF3",2017,6.8
"TOTAL","ALOS","NR","M","E","FRG0",2017,6.4
"TOTAL","ALOS","NR","M","E","FRH0",2017,6.8
"TOTAL","ALOS","NR","M","E","FRI1",2017,5.8
"TOTAL","ALOS","NR","M","E","FRI2",2017,7.4
"TOTAL","ALOS","NR","M","E","FRI3",2017,6.9
"TOTAL","ALOS","NR","M","E","FRJ1",2017,5.8
"TOTAL","ALOS","NR","M","E","FRJ2",2017,5.4
"TOTAL","ALOS","NR","M","E","FRK1",2017,6.4
"TOTAL","ALOS","NR","M","E","FRK2",2017,5.7
"TOTAL","ALOS","NR","M","E","FRL0",2017,6.5
"TOTAL","ALOS","NR","M","E","FRM0",2017,6.6
"TOTAL","ALOS","NR","M","E","FRY1",2017,6.6
"TOTAL","ALOS","NR","M","E","FRY2",2017,7.7
"TOTAL","ALOS","NR","M","E","FRY3",2017,7.4
"TOTAL","ALOS","NR","M","E","FRY4",2017,6.1
"TOTAL","ALOS","NR","M","E","FRY5",2017,15.5
"TOTAL","ALOS","NR","M","E","FRZZ",2017,8.7
"TOTAL","ALOS","NR","M","E","HR",2017,6.4
"TOTAL","ALOS","NR","M","E","HR03",2017,7.3
"TOTAL","ALOS","NR","M","E","HR04",2017,6.1
"TOTAL","ALOS","NR","M","E","HU",2017,5.8
"TOTAL","ALOS","NR","M","E","IE",2017,8.2
"TOTAL","ALOS","NR","M","E","IE04",2017,7.3
"TOTAL","ALOS","NR","M","E","IE05",2017,7.3
"TOTAL","ALOS","NR","M","E","IE06",2017,9.2
"TOTAL","ALOS","NR","M","E","IS",2017,6.4
"TOTAL","ALOS","NR","M","E","IT",2017,6.8
"TOTAL","ALOS","NR","M","E","ITC1",2017,8.9
"TOTAL","ALOS","NR","M","E","ITC2",2017,7.2
"TOTAL","ALOS","NR","M","E","ITC3",2017,6.9
"TOTAL","ALOS","NR","M","E","ITC4",2017,6.9
"TOTAL","ALOS","NR","M","E","ITF1",2017,5.7
"TOTAL","ALOS","NR","M","E","ITF2",2017,5.7
"TOTAL","ALOS","NR","M","E","ITF3",2017,6
"TOTAL","ALOS","NR","M","E","ITF4",2017,5.9
"TOTAL","ALOS","NR","M","E","ITF5",2017,6
"TOTAL","ALOS","NR","M","E","ITF6",2017,5.9
"TOTAL","ALOS","NR","M","E","ITG1",2017,6.2
"TOTAL","ALOS","NR","M","E","ITG2",2017,6.1
"TOTAL","ALOS","NR","M","E","ITH1",2017,6.8
"TOTAL","ALOS","NR","M","E","ITH2",2017,8.5
"TOTAL","ALOS","NR","M","E","ITH3",2017,7.6
"TOTAL","ALOS","NR","M","E","ITH4",2017,7
"TOTAL","ALOS","NR","M","E","ITH5",2017,8.3
"TOTAL","ALOS","NR","M","E","ITI1",2017,5.6
"TOTAL","ALOS","NR","M","E","ITI2",2017,6.3
"TOTAL","ALOS","NR","M","E","ITI3",2017,6.8
"TOTAL","ALOS","NR","M","E","ITI4",2017,7.1
"TOTAL","ALOS","NR","M","E","LI",2017,10.9
"TOTAL","ALOS","NR","M","E","LT",2017,7.7
"TOTAL","ALOS","NR","M","E","LT01",2017,7.4
"TOTAL","ALOS","NR","M","E","LT02",2017,7.8
"TOTAL","ALOS","NR","M","E","LV",2017,6.4
"TOTAL","ALOS","NR","M","E","ME",2017,8.9
"TOTAL","ALOS","NR","M","E","MT",2017,8.3
"TOTAL","ALOS","NR","M","E","NL",2017,5.4
"TOTAL","ALOS","NR","M","E","NL11",2017,6.4
"TOTAL","ALOS","NR","M","E","NL12",2017,6.5
"TOTAL","ALOS","NR","M","E","NL13",2017,5
"TOTAL","ALOS","NR","M","E","NL21",2017,4.6
"TOTAL","ALOS","NR","M","E","NL22",2017,6
"TOTAL","ALOS","NR","M","E","NL23",2017,4.5
"TOTAL","ALOS","NR","M","E","NL31",2017,5.2
"TOTAL","ALOS","NR","M","E","NL32",2017,5.8
"TOTAL","ALOS","NR","M","E","NL33",2017,5.7
"TOTAL","ALOS","NR","M","E","NL34",2017,4.7
"TOTAL","ALOS","NR","M","E","NL41",2017,4.9
"TOTAL","ALOS","NR","M","E","NL42",2017,5.2
"TOTAL","ALOS","NR","M","E","NO",2017,4.3
"TOTAL","ALOS","NR","M","E","PL",2017,6.4
"TOTAL","ALOS","NR","M","E","RO",2017,6.3
"TOTAL","ALOS","NR","M","E","RO11",2017,5.9
"TOTAL","ALOS","NR","M","E","RO12",2017,6.4
"TOTAL","ALOS","NR","M","E","RO21",2017,7
"TOTAL","ALOS","NR","M","E","RO22",2017,6.5
"TOTAL","ALOS","NR","M","E","RO31",2017,6.3
"TOTAL","ALOS","NR","M","E","RO32",2017,5.4
"TOTAL","ALOS","NR","M","E","RO41",2017,6.5
"TOTAL","ALOS","NR","M","E","RO42",2017,7.4
"TOTAL","ALOS","NR","M","E","RS",2017,8.9
"TOTAL","ALOS","NR","M","E","SE",2017,5.2
"TOTAL","ALOS","NR","M","E","SI",2017,6.1
"TOTAL","ALOS","NR","M","E","SK",2017,7.4
"TOTAL","ALOS","NR","M","F","AT",2017,24.4
"TOTAL","ALOS","NR","M","F","AT11",2017,12.5
"TOTAL","ALOS","NR","M","F","AT12",2017,25.3
"TOTAL","ALOS","NR","M","F","AT13",2017,28.9
"TOTAL","ALOS","NR","M","F","AT21",2017,18
"TOTAL","ALOS","NR","M","F","AT22",2017,42.7
"TOTAL","ALOS","NR","M","F","AT31",2017,16.1
"TOTAL","ALOS","NR","M","F","AT32",2017,16.6
"TOTAL","ALOS","NR","M","F","AT33",2017,12.9
"TOTAL","ALOS","NR","M","F","AT34",2017,28.6
"TOTAL","ALOS","NR","M","F","BE",2017,8.1
"TOTAL","ALOS","NR","M","F","BE10",2017,6.1
"TOTAL","ALOS","NR","M","F","BE21",2017,7.3
"TOTAL","ALOS","NR","M","F","BE22",2017,11.3
"TOTAL","ALOS","NR","M","F","BE23",2017,8.5
"TOTAL","ALOS","NR","M","F","BE24",2017,7
"TOTAL","ALOS","NR","M","F","BE25",2017,11.2
"TOTAL","ALOS","NR","M","F","BE31",2017,6.8
"TOTAL","ALOS","NR","M","F","BE32",2017,8.9
"TOTAL","ALOS","NR","M","F","BE33",2017,8
"TOTAL","ALOS","NR","M","F","BE34",2017,5.6
"TOTAL","ALOS","NR","M","F","BE35",2017,6.9
"TOTAL","ALOS","NR","M","F","CH",2017,26.7
"TOTAL","ALOS","NR","M","F","CY",2017,16.9
"TOTAL","ALOS","NR","M","F","CZ",2017,43.2
"TOTAL","ALOS","NR","M","F","CZ01",2017,34.1
"TOTAL","ALOS","NR","M","F","CZ02",2017,44.7
"TOTAL","ALOS","NR","M","F","CZ03",2017,59
"TOTAL","ALOS","NR","M","F","CZ04",2017,35.9
"TOTAL","ALOS","NR","M","F","CZ05",2017,23.6
"TOTAL","ALOS","NR","M","F","CZ06",2017,50.8
"TOTAL","ALOS","NR","M","F","CZ07",2017,51.1
"TOTAL","ALOS","NR","M","F","CZ08",2017,37.6
"TOTAL","ALOS","NR","M","F","DE",2017,23.1
"TOTAL","ALOS","NR","M","F","DE1",2017,25.1
"TOTAL","ALOS","NR","M","F","DE2",2017,24.3
"TOTAL","ALOS","NR","M","F","DE30",2017,19.2
"TOTAL","ALOS","NR","M","F","DE40",2017,25
"TOTAL","ALOS","NR","M","F","DE50",2017,18.4
"TOTAL","ALOS","NR","M","F","DE60",2017,23.4
"TOTAL","ALOS","NR","M","F","DE7",2017,24.4
"TOTAL","ALOS","NR","M","F","DE80",2017,22.6
"TOTAL","ALOS","NR","M","F","DE9",2017,22.7
"TOTAL","ALOS","NR","M","F","DEA",2017,20.7
"TOTAL","ALOS","NR","M","F","DEB",2017,24.6
"TOTAL","ALOS","NR","M","F","DEC0",2017,24
"TOTAL","ALOS","NR","M","F","DED",2017,23.8
"TOTAL","ALOS","NR","M","F","DEE0",2017,23.3
"TOTAL","ALOS","NR","M","F","DEF0",2017,21.7
"TOTAL","ALOS","NR","M","F","DEG0",2017,25.9
"TOTAL","ALOS","NR","M","F","ES",2017,39.6
"TOTAL","ALOS","NR","M","F","ES1",2017,27.2
"TOTAL","ALOS","NR","M","F","ES11",2017,29.2
"TOTAL","ALOS","NR","M","F","ES12",2017,13.7
"TOTAL","ALOS","NR","M","F","ES13",2017,55.1
"TOTAL","ALOS","NR","M","F","ES2",2017,77.4
"TOTAL","ALOS","NR","M","F","ES21",2017,92.8
"TOTAL","ALOS","NR","M","F","ES22",2017,55.4
"TOTAL","ALOS","NR","M","F","ES23",2017,37.6
"TOTAL","ALOS","NR","M","F","ES24",2017,62.7
"TOTAL","ALOS","NR","M","F","ES30",2017,38.7
"TOTAL","ALOS","NR","M","F","ES4",2017,54.6
"TOTAL","ALOS","NR","M","F","ES41",2017,73.8
"TOTAL","ALOS","NR","M","F","ES42",2017,19.4
"TOTAL","ALOS","NR","M","F","ES43",2017,58.7
"TOTAL","ALOS","NR","M","F","ES5",2017,29.8
"TOTAL","ALOS","NR","M","F","ES51",2017,31.3
"TOTAL","ALOS","NR","M","F","ES52",2017,28.9
"TOTAL","ALOS","NR","M","F","ES53",2017,19.2
"TOTAL","ALOS","NR","M","F","ES6",2017,33.1
