"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","ALOS","NR",TRUE,"E","AT",2017,9.3
"TOTAL","ALOS","NR",TRUE,"E","AT11",2017,7.4
"TOTAL","ALOS","NR",TRUE,"E","AT12",2017,11.7
"TOTAL","ALOS","NR",TRUE,"E","AT13",2017,9.2
"TOTAL","ALOS","NR",TRUE,"E","AT21",2017,8.6
"TOTAL","ALOS","NR",TRUE,"E","AT22",2017,11.6
"TOTAL","ALOS","NR",TRUE,"E","AT31",2017,8
"TOTAL","ALOS","NR",TRUE,"E","AT32",2017,9.1
"TOTAL","ALOS","NR",TRUE,"E","AT33",2017,5.9
"TOTAL","ALOS","NR",TRUE,"E","AT34",2017,5.1
"TOTAL","ALOS","NR",TRUE,"E","BE",2017,5.9
"TOTAL","ALOS","NR",TRUE,"E","BE10",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","BE21",2017,5.7
"TOTAL","ALOS","NR",TRUE,"E","BE22",2017,5.3
"TOTAL","ALOS","NR",TRUE,"E","BE23",2017,5.6
"TOTAL","ALOS","NR",TRUE,"E","BE24",2017,6
"TOTAL","ALOS","NR",TRUE,"E","BE25",2017,6
"TOTAL","ALOS","NR",TRUE,"E","BE31",2017,6.3
"TOTAL","ALOS","NR",TRUE,"E","BE32",2017,6.5
"TOTAL","ALOS","NR",TRUE,"E","BE33",2017,6
"TOTAL","ALOS","NR",TRUE,"E","BE34",2017,6
"TOTAL","ALOS","NR",TRUE,"E","BE35",2017,6.6
"TOTAL","ALOS","NR",TRUE,"E","BG",2017,4.6
"TOTAL","ALOS","NR",TRUE,"E","BG31",2017,5.1
"TOTAL","ALOS","NR",TRUE,"E","BG32",2017,5.3
"TOTAL","ALOS","NR",TRUE,"E","BG33",2017,4.8
"TOTAL","ALOS","NR",TRUE,"E","BG34",2017,4.6
"TOTAL","ALOS","NR",TRUE,"E","BG41",2017,4.5
"TOTAL","ALOS","NR",TRUE,"E","BG42",2017,4.4
"TOTAL","ALOS","NR",TRUE,"E","CH",2017,7.5
"TOTAL","ALOS","NR",TRUE,"E","CY",2017,4.9
"TOTAL","ALOS","NR",TRUE,"E","CZ",2017,9.7
"TOTAL","ALOS","NR",TRUE,"E","CZ01",2017,9
"TOTAL","ALOS","NR",TRUE,"E","CZ02",2017,11.8
"TOTAL","ALOS","NR",TRUE,"E","CZ03",2017,9.1
"TOTAL","ALOS","NR",TRUE,"E","CZ04",2017,10.6
"TOTAL","ALOS","NR",TRUE,"E","CZ05",2017,10.8
"TOTAL","ALOS","NR",TRUE,"E","CZ06",2017,10
"TOTAL","ALOS","NR",TRUE,"E","CZ07",2017,8.7
"TOTAL","ALOS","NR",TRUE,"E","CZ08",2017,8.7
"TOTAL","ALOS","NR",TRUE,"E","DE",2017,8.8
"TOTAL","ALOS","NR",TRUE,"E","DE1",2017,9.1
"TOTAL","ALOS","NR",TRUE,"E","DE2",2017,8.9
"TOTAL","ALOS","NR",TRUE,"E","DE30",2017,8.2
"TOTAL","ALOS","NR",TRUE,"E","DE40",2017,9.5
"TOTAL","ALOS","NR",TRUE,"E","DE50",2017,7.4
"TOTAL","ALOS","NR",TRUE,"E","DE60",2017,7.5
"TOTAL","ALOS","NR",TRUE,"E","DE7",2017,10
"TOTAL","ALOS","NR",TRUE,"E","DE80",2017,9.2
"TOTAL","ALOS","NR",TRUE,"E","DE9",2017,7.9
"TOTAL","ALOS","NR",TRUE,"E","DEA",2017,8.2
"TOTAL","ALOS","NR",TRUE,"E","DEB",2017,9.9
"TOTAL","ALOS","NR",TRUE,"E","DEC0",2017,8.8
"TOTAL","ALOS","NR",TRUE,"E","DED",2017,8.8
"TOTAL","ALOS","NR",TRUE,"E","DEE0",2017,8.8
"TOTAL","ALOS","NR",TRUE,"E","DEF0",2017,10.7
"TOTAL","ALOS","NR",TRUE,"E","DEG0",2017,9.3
"TOTAL","ALOS","NR",TRUE,"E","EE",2017,7.1
"TOTAL","ALOS","NR",TRUE,"E","ES",2017,7
"TOTAL","ALOS","NR",TRUE,"E","ES1",2017,8.3
"TOTAL","ALOS","NR",TRUE,"E","ES11",2017,8.5
"TOTAL","ALOS","NR",TRUE,"E","ES12",2017,7.4
"TOTAL","ALOS","NR",TRUE,"E","ES13",2017,8.4
"TOTAL","ALOS","NR",TRUE,"E","ES2",2017,7
"TOTAL","ALOS","NR",TRUE,"E","ES21",2017,6.1
"TOTAL","ALOS","NR",TRUE,"E","ES22",2017,8
"TOTAL","ALOS","NR",TRUE,"E","ES23",2017,9.9
"TOTAL","ALOS","NR",TRUE,"E","ES24",2017,7.1
"TOTAL","ALOS","NR",TRUE,"E","ES30",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","ES4",2017,7.3
"TOTAL","ALOS","NR",TRUE,"E","ES41",2017,7.8
"TOTAL","ALOS","NR",TRUE,"E","ES42",2017,6.7
"TOTAL","ALOS","NR",TRUE,"E","ES43",2017,6.7
"TOTAL","ALOS","NR",TRUE,"E","ES5",2017,6.9
"TOTAL","ALOS","NR",TRUE,"E","ES51",2017,7.6
"TOTAL","ALOS","NR",TRUE,"E","ES52",2017,5.6
"TOTAL","ALOS","NR",TRUE,"E","ES53",2017,7.1
"TOTAL","ALOS","NR",TRUE,"E","ES6",2017,6.7
"TOTAL","ALOS","NR",TRUE,"E","ES61",2017,6.4
"TOTAL","ALOS","NR",TRUE,"E","ES62",2017,7.5
"TOTAL","ALOS","NR",TRUE,"E","ES63",2017,5.4
"TOTAL","ALOS","NR",TRUE,"E","ES64",2017,12
"TOTAL","ALOS","NR",TRUE,"E","ES70",2017,9.3
"TOTAL","ALOS","NR",TRUE,"E","FI",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","FR",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","FR10",2017,5.7
"TOTAL","ALOS","NR",TRUE,"E","FRB0",2017,6.2
"TOTAL","ALOS","NR",TRUE,"E","FRC1",2017,5.9
"TOTAL","ALOS","NR",TRUE,"E","FRC2",2017,6.4
"TOTAL","ALOS","NR",TRUE,"E","FRD1",2017,6.5
"TOTAL","ALOS","NR",TRUE,"E","FRD2",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","FRE1",2017,5.4
"TOTAL","ALOS","NR",TRUE,"E","FRE2",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","FRF1",2017,6.1
"TOTAL","ALOS","NR",TRUE,"E","FRF2",2017,6
"TOTAL","ALOS","NR",TRUE,"E","FRF3",2017,6.3
"TOTAL","ALOS","NR",TRUE,"E","FRG0",2017,5.8
"TOTAL","ALOS","NR",TRUE,"E","FRH0",2017,6.6
"TOTAL","ALOS","NR",TRUE,"E","FRI1",2017,5.5
"TOTAL","ALOS","NR",TRUE,"E","FRI2",2017,7
"TOTAL","ALOS","NR",TRUE,"E","FRI3",2017,6.3
"TOTAL","ALOS","NR",TRUE,"E","FRJ1",2017,5.4
"TOTAL","ALOS","NR",TRUE,"E","FRJ2",2017,5.1
"TOTAL","ALOS","NR",TRUE,"E","FRK1",2017,6.3
