"indic_de","unit","geo","time","values"
"OLDDEP1","PC","AL",2017,19.1
"OLDDEP2","PC","AL",2017,34.1
"PC_FM","PC","AL",2017,97.9
"PC_Y60_MAX","PC","AL",2017,18.9
"PC_Y65_MAX","PC","AL",2017,13.1
"OLDDEP1","PC","AL",2018,19.7
"OLDDEP2","PC","AL",2018,35.4
"PC_FM","PC","AL",2018,99.5
"PC_Y60_MAX","PC","AL",2018,19.6
"PC_Y65_MAX","PC","AL",2018,13.6
"OLDDEP1","PC","AL0",2017,19.1
"OLDDEP2","PC","AL0",2017,34.1
"PC_FM","PC","AL0",2017,97.9
"PC_Y60_MAX","PC","AL0",2017,18.9
"PC_Y65_MAX","PC","AL0",2017,13.1
"OLDDEP1","PC","AL0",2018,19.7
"OLDDEP2","PC","AL0",2018,35.4
"PC_FM","PC","AL0",2018,99.5
"PC_Y60_MAX","PC","AL0",2018,19.6
"PC_Y65_MAX","PC","AL0",2018,13.6
"OLDDEP1","PC","AL01",2017,19.4
"OLDDEP2","PC","AL01",2017,34.6
"PC_FM","PC","AL01",2017,96.4
"PC_Y60_MAX","PC","AL01",2017,18.8
"PC_Y65_MAX","PC","AL01",2017,13.2
"OLDDEP1","PC","AL01",2018,20
"OLDDEP2","PC","AL01",2018,36.1
"PC_FM","PC","AL01",2018,97.9
"PC_Y60_MAX","PC","AL01",2018,19.6
"PC_Y65_MAX","PC","AL01",2018,13.6
"OLDDEP1","PC","AL02",2017,19
"OLDDEP2","PC","AL02",2017,33.4
"PC_FM","PC","AL02",2017,100.3
"PC_Y60_MAX","PC","AL02",2017,18.7
"PC_Y65_MAX","PC","AL02",2017,13.1
"OLDDEP1","PC","AL02",2018,19.5
"OLDDEP2","PC","AL02",2018,34.4
"PC_FM","PC","AL02",2018,101.5
"PC_Y60_MAX","PC","AL02",2018,19.3
"PC_Y65_MAX","PC","AL02",2018,13.5
"OLDDEP1","PC","AL03",2017,19.1
"OLDDEP2","PC","AL03",2017,34.5
"PC_FM","PC","AL03",2017,96.3
"PC_Y60_MAX","PC","AL03",2017,19.1
"PC_Y65_MAX","PC","AL03",2017,13.1
"OLDDEP1","PC","AL03",2018,19.8
"OLDDEP2","PC","AL03",2018,36.3
"PC_FM","PC","AL03",2018,98.5
"PC_Y60_MAX","PC","AL03",2018,20
"PC_Y65_MAX","PC","AL03",2018,13.7
"OLDDEP1","PC","AT",2017,27.6
"OLDDEP2","PC","AT",2017,43.3
"PC_FM","PC","AT",2017,103.4
"PC_Y60_MAX","PC","AT",2017,24.3
"PC_Y65_MAX","PC","AT",2017,18.5
"OLDDEP1","PC","AT",2018,27.9
"OLDDEP2","PC","AT",2018,44
"PC_FM","PC","AT",2018,103.3
"PC_Y60_MAX","PC","AT",2018,24.6
"PC_Y65_MAX","PC","AT",2018,18.7
"OLDDEP1","PC","AT1",2017,27.2
"OLDDEP2","PC","AT1",2017,42
"PC_FM","PC","AT1",2017,104.2
"PC_Y60_MAX","PC","AT1",2017,23.9
"PC_Y65_MAX","PC","AT1",2017,18.3
"OLDDEP1","PC","AT1",2018,27.3
"OLDDEP2","PC","AT1",2018,42.6
"PC_FM","PC","AT1",2018,104.1
"PC_Y60_MAX","PC","AT1",2018,24.1
"PC_Y65_MAX","PC","AT1",2018,18.4
"OLDDEP1","PC","AT11",2017,32.3
"OLDDEP2","PC","AT11",2017,52.4
"PC_FM","PC","AT11",2017,103.4
"PC_Y60_MAX","PC","AT11",2017,28.2
"PC_Y65_MAX","PC","AT11",2017,21.2
"OLDDEP1","PC","AT11",2018,33
"OLDDEP2","PC","AT11",2018,53.9
"PC_FM","PC","AT11",2018,103.7
"PC_Y60_MAX","PC","AT11",2018,28.7
"PC_Y65_MAX","PC","AT11",2018,21.5
"OLDDEP1","PC","AT12",2017,30.1
"OLDDEP2","PC","AT12",2017,47.2
"PC_FM","PC","AT12",2017,103
"PC_Y60_MAX","PC","AT12",2017,25.7
"PC_Y65_MAX","PC","AT12",2017,19.8
"OLDDEP1","PC","AT12",2018,30.4
