"indic_de","unit","geo","time","values"
"PC_Y60_64","PC","AL",2017,5.7
"PC_Y65_69","PC","AL",2017,4.4
"PC_Y70_74","PC","AL",2017,3.4
"PC_Y75_79","PC","AL",2017,2.9
"PC_Y80_84","PC","AL",2017,1.6
"PC_Y85_MAX","PC","AL",2017,0.8
"PC_Y60_64","PC","AL",2018,6
"PC_Y65_69","PC","AL",2018,4.6
"PC_Y70_74","PC","AL",2018,3.4
"PC_Y75_79","PC","AL",2018,3
"PC_Y80_84","PC","AL",2018,1.7
"PC_Y85_MAX","PC","AL",2018,0.8
"PC_Y60_64","PC","AL0",2017,5.7
"PC_Y65_69","PC","AL0",2017,4.4
"PC_Y70_74","PC","AL0",2017,3.4
"PC_Y75_79","PC","AL0",2017,2.9
"PC_Y80_84","PC","AL0",2017,1.6
"PC_Y85_MAX","PC","AL0",2017,0.8
"PC_Y60_64","PC","AL0",2018,6
"PC_Y65_69","PC","AL0",2018,4.6
"PC_Y70_74","PC","AL0",2018,3.4
"PC_Y75_79","PC","AL0",2018,3
"PC_Y80_84","PC","AL0",2018,1.7
"PC_Y85_MAX","PC","AL0",2018,0.8
"PC_Y60_64","PC","AL01",2017,5.6
"PC_Y65_69","PC","AL01",2017,4.4
"PC_Y70_74","PC","AL01",2017,3.4
"PC_Y75_79","PC","AL01",2017,2.9
"PC_Y80_84","PC","AL01",2017,1.6
"PC_Y85_MAX","PC","AL01",2017,0.8
"PC_Y60_64","PC","AL01",2018,6
"PC_Y65_69","PC","AL01",2018,4.5
"PC_Y70_74","PC","AL01",2018,3.4
"PC_Y75_79","PC","AL01",2018,3.1
"PC_Y80_84","PC","AL01",2018,1.7
"PC_Y85_MAX","PC","AL01",2018,0.8
"PC_Y60_64","PC","AL02",2017,5.6
"PC_Y65_69","PC","AL02",2017,4.3
"PC_Y70_74","PC","AL02",2017,3.2
"PC_Y75_79","PC","AL02",2017,2.8
"PC_Y80_84","PC","AL02",2017,1.7
"PC_Y85_MAX","PC","AL02",2017,1
"PC_Y60_64","PC","AL02",2018,5.8
"PC_Y65_69","PC","AL02",2018,4.5
"PC_Y70_74","PC","AL02",2018,3.3
"PC_Y75_79","PC","AL02",2018,2.9
"PC_Y80_84","PC","AL02",2018,1.8
"PC_Y85_MAX","PC","AL02",2018,1.1
"PC_Y60_64","PC","AL03",2017,6
"PC_Y65_69","PC","AL03",2017,4.6
"PC_Y70_74","PC","AL03",2017,3.5
"PC_Y75_79","PC","AL03",2017,3
"PC_Y80_84","PC","AL03",2017,1.6
"PC_Y85_MAX","PC","AL03",2017,0.4
"PC_Y60_64","PC","AL03",2018,6.3
"PC_Y65_69","PC","AL03",2018,4.7
"PC_Y70_74","PC","AL03",2018,3.6
"PC_Y75_79","PC","AL03",2018,3.2
"PC_Y80_84","PC","AL03",2018,1.7
"PC_Y85_MAX","PC","AL03",2018,0.4
"PC_Y60_64","PC","AT",2017,5.8
"PC_Y65_69","PC","AT",2017,5.2
"PC_Y70_74","PC","AT",2017,4.2
"PC_Y75_79","PC","AT",2017,4.2
"PC_Y80_84","PC","AT",2017,2.4
"PC_Y85_MAX","PC","AT",2017,2.5
"PC_Y60_64","PC","AT",2018,5.9
"PC_Y65_69","PC","AT",2018,5.1
"PC_Y70_74","PC","AT",2018,4.3
"PC_Y75_79","PC","AT",2018,4.3
"PC_Y80_84","PC","AT",2018,2.4
"PC_Y85_MAX","PC","AT",2018,2.5
"PC_Y60_64","PC","AT1",2017,5.6
"PC_Y65_69","PC","AT1",2017,5.2
"PC_Y70_74","PC","AT1",2017,4.2
"PC_Y75_79","PC","AT1",2017,4.2
"PC_Y80_84","PC","AT1",2017,2.3
"PC_Y85_MAX","PC","AT1",2017,2.5
"PC_Y60_64","PC","AT1",2018,5.7
"PC_Y65_69","PC","AT1",2018,5
"PC_Y70_74","PC","AT1",2018,4.3
"PC_Y75_79","PC","AT1",2018,4.3
"PC_Y80_84","PC","AT1",2018,2.2
"PC_Y85_MAX","PC","AT1",2018,2.4
"PC_Y60_64","PC","AT11",2017,7
"PC_Y65_69","PC","AT11",2017,6.4
"PC_Y70_74","PC","AT11",2017,4
"PC_Y75_79","PC","AT11",2017,4.7
"PC_Y80_84","PC","AT11",2017,3.1
"PC_Y85_MAX","PC","AT11",2017,2.9
"PC_Y60_64","PC","AT11",2018,7.2
"PC_Y65_69","PC","AT11",2018,6.4
"PC_Y70_74","PC","AT11",2018,4.4
"PC_Y75_79","PC","AT11",2018,4.7
"PC_Y80_84","PC","AT11",2018,3.1
"PC_Y85_MAX","PC","AT11",2018,3
"PC_Y60_64","PC","AT12",2017,6
"PC_Y65_69","PC","AT12",2017,5.5
"PC_Y70_74","PC","AT12",2017,4.4
"PC_Y75_79","PC","AT12",2017,4.6
"PC_Y80_84","PC","AT12",2017,2.6
"PC_Y85_MAX","PC","AT12",2017,2.7
"PC_Y60_64","PC","AT12",2018,6.2
"PC_Y65_69","PC","AT12",2018,5.3
"PC_Y70_74","PC","AT12",2018,4.5
"PC_Y75_79","PC","AT12",2018,4.8
"PC_Y80_84","PC","AT12",2018,2.7
"PC_Y85_MAX","PC","AT12",2018,2.7
"PC_Y60_64","PC","AT13",2017,5
"PC_Y65_69","PC","AT13",2017,4.7
"PC_Y70_74","PC","AT13",2017,4.2
"PC_Y75_79","PC","AT13",2017,3.7
"PC_Y80_84","PC","AT13",2017,1.8
"PC_Y85_MAX","PC","AT13",2017,2.2
"PC_Y60_64","PC","AT13",2018,5.1
"PC_Y65_69","PC","AT13",2018,4.4
"PC_Y70_74","PC","AT13",2018,4.2
"PC_Y75_79","PC","AT13",2018,3.9
"PC_Y80_84","PC","AT13",2018,1.7
"PC_Y85_MAX","PC","AT13",2018,2.2
"PC_Y60_64","PC","AT2",2017,6.2
"PC_Y65_69","PC","AT2",2017,5.5
"PC_Y70_74","PC","AT2",2017,4.5
"PC_Y75_79","PC","AT2",2017,4.6
"PC_Y80_84","PC","AT2",2017,2.7
"PC_Y85_MAX","PC","AT2",2017,3
"PC_Y60_64","PC","AT2",2018,6.5
"PC_Y65_69","PC","AT2",2018,5.5
"PC_Y70_74","PC","AT2",2018,4.6
"PC_Y75_79","PC","AT2",2018,4.7
"PC_Y80_84","PC","AT2",2018,2.7
"PC_Y85_MAX","PC","AT2",2018,3
"PC_Y60_64","PC","AT21",2017,6.6
"PC_Y65_69","PC","AT21",2017,5.8
"PC_Y70_74","PC","AT21",2017,4.7
"PC_Y75_79","PC","AT21",2017,4.7
"PC_Y80_84","PC","AT21",2017,2.8
"PC_Y85_MAX","PC","AT21",2017,3.1
"PC_Y60_64","PC","AT21",2018,6.9
"PC_Y65_69","PC","AT21",2018,5.8
"PC_Y70_74","PC","AT21",2018,4.8
"PC_Y75_79","PC","AT21",2018,4.9
"PC_Y80_84","PC","AT21",2018,2.7
"PC_Y85_MAX","PC","AT21",2018,3.1
"PC_Y60_64","PC","AT22",2017,6.1
"PC_Y65_69","PC","AT22",2017,5.3
"PC_Y70_74","PC","AT22",2017,4.4
"PC_Y75_79","PC","AT22",2017,4.5
"PC_Y80_84","PC","AT22",2017,2.7
"PC_Y85_MAX","PC","AT22",2017,2.9
"PC_Y60_64","PC","AT22",2018,6.3
"PC_Y65_69","PC","AT22",2018,5.3
"PC_Y70_74","PC","AT22",2018,4.5
"PC_Y75_79","PC","AT22",2018,4.7
"PC_Y80_84","PC","AT22",2018,2.7
"PC_Y85_MAX","PC","AT22",2018,2.9
"PC_Y60_64","PC","AT3",2017,5.7
"PC_Y65_69","PC","AT3",2017,5
"PC_Y70_74","PC","AT3",2017,4.1
"PC_Y75_79","PC","AT3",2017,4
"PC_Y80_84","PC","AT3",2017,2.4
"PC_Y85_MAX","PC","AT3",2017,2.4
"PC_Y60_64","PC","AT3",2018,5.9
"PC_Y65_69","PC","AT3",2018,5
"PC_Y70_74","PC","AT3",2018,4.1
"PC_Y75_79","PC","AT3",2018,4.1
"PC_Y80_84","PC","AT3",2018,2.4
"PC_Y85_MAX","PC","AT3",2018,2.4
"PC_Y60_64","PC","AT31",2017,5.9
"PC_Y65_69","PC","AT31",2017,5
"PC_Y70_74","PC","AT31",2017,4
"PC_Y75_79","PC","AT31",2017,4.1
"PC_Y80_84","PC","AT31",2017,2.5
"PC_Y85_MAX","PC","AT31",2017,2.5
"PC_Y60_64","PC","AT31",2018,6.1
"PC_Y65_69","PC","AT31",2018,5
"PC_Y70_74","PC","AT31",2018,4
"PC_Y75_79","PC","AT31",2018,4.2
"PC_Y80_84","PC","AT31",2018,2.5
"PC_Y85_MAX","PC","AT31",2018,2.5
"PC_Y60_64","PC","AT32",2017,5.9
"PC_Y65_69","PC","AT32",2017,5.2
"PC_Y70_74","PC","AT32",2017,4.4
"PC_Y75_79","PC","AT32",2017,4
"PC_Y80_84","PC","AT32",2017,2.3
"PC_Y85_MAX","PC","AT32",2017,2.4
"PC_Y60_64","PC","AT32",2018,6
"PC_Y65_69","PC","AT32",2018,5.1
"PC_Y70_74","PC","AT32",2018,4.4
"PC_Y75_79","PC","AT32",2018,4.2
"PC_Y80_84","PC","AT32",2018,2.3
"PC_Y85_MAX","PC","AT32",2018,2.4
"PC_Y60_64","PC","AT33",2017,5.4
"PC_Y65_69","PC","AT33",2017,4.9
"PC_Y70_74","PC","AT33",2017,4.1
"PC_Y75_79","PC","AT33",2017,3.9
"PC_Y80_84","PC","AT33",2017,2.3
"PC_Y85_MAX","PC","AT33",2017,2.3
"PC_Y60_64","PC","AT33",2018,5.6
"PC_Y65_69","PC","AT33",2018,4.9
"PC_Y70_74","PC","AT33",2018,4.2
"PC_Y75_79","PC","AT33",2018,4.1
"PC_Y80_84","PC","AT33",2018,2.3
"PC_Y85_MAX","PC","AT33",2018,2.3
"PC_Y60_64","PC","AT34",2017,5.4
"PC_Y65_69","PC","AT34",2017,4.8
"PC_Y70_74","PC","AT34",2017,3.9
"PC_Y75_79","PC","AT34",2017,3.7
"PC_Y80_84","PC","AT34",2017,2.3
"PC_Y85_MAX","PC","AT34",2017,2.2
"PC_Y60_64","PC","AT34",2018,5.5
"PC_Y65_69","PC","AT34",2018,4.8
"PC_Y70_74","PC","AT34",2018,4
"PC_Y75_79","PC","AT34",2018,3.8
"PC_Y80_84","PC","AT34",2018,2.3
"PC_Y85_MAX","PC","AT34",2018,2.2
"PC_Y60_64","PC","BE",2017,6
"PC_Y65_69","PC","BE",2017,5.4
"PC_Y70_74","PC","BE",2017,4.2
"PC_Y75_79","PC","BE",2017,3.3
"PC_Y80_84","PC","BE",2017,2.8
"PC_Y85_MAX","PC","BE",2017,2.7
"PC_Y60_64","PC","BE",2018,6.1
"PC_Y65_69","PC","BE",2018,5.4
"PC_Y70_74","PC","BE",2018,4.5
"PC_Y75_79","PC","BE",2018,3.3
"PC_Y80_84","PC","BE",2018,2.8
"PC_Y85_MAX","PC","BE",2018,2.8
"PC_Y60_64","PC","BE1",2017,4.5
"PC_Y65_69","PC","BE1",2017,3.7
"PC_Y70_74","PC","BE1",2017,2.9
"PC_Y75_79","PC","BE1",2017,2.3
"PC_Y80_84","PC","BE1",2017,1.9
"PC_Y85_MAX","PC","BE1",2017,2.2
"PC_Y60_64","PC","BE1",2018,4.5
"PC_Y65_69","PC","BE1",2018,3.7
"PC_Y70_74","PC","BE1",2018,3
