unit,direct,na_item,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS_HAB,BAL,B5N,AT11	20600 	21600 	21600 	20600 	20900 	21300 	22600 	22200 	22900 	24100 	23200 	: 
PPS_HAB,BAL,B5N,AT12	22200 	23400 	23500 	22300 	22700 	23300 	24400 	24300 	24800 	25700 	25100 	: 
PPS_HAB,BAL,B5N,AT13	22400 	23400 	23400 	22300 	22200 	22500 	23200 	22800 	23100 	23700 	22900 	: 
PPS_HAB,BAL,B5N,AT21	19900 	20900 	20900 	19800 	20100 	20500 	21600 	21400 	22000 	22900 	22200 	: 
PPS_HAB,BAL,B5N,AT22	20300 	21400 	21500 	20300 	20600 	21300 	22300 	22200 	22700 	23600 	22900 	: 
PPS_HAB,BAL,B5N,AT31	21800 	22800 	22900 	21800 	22000 	22700 	23800 	23700 	24400 	25200 	24600 	: 
PPS_HAB,BAL,B5N,AT32	22200 	23300 	23300 	22300 	22400 	23000 	24200 	24200 	24800 	25900 	25300 	: 
PPS_HAB,BAL,B5N,AT33	21400 	22300 	22300 	21200 	21400 	22100 	23400 	23400 	24100 	25100 	24600 	: 
PPS_HAB,BAL,B5N,AT34	23500 	24400 	24300 	23200 	23500 	24500 	25900 	26100 	26900 	28300 	27500 	: 
PPS_HAB,BAL,B5N,BE10	18900 	19800 	20000 	19300 	19400 	19400 	19600 	19600 	19900 	20400 	20000 	: 
PPS_HAB,BAL,B5N,BE21	21600 	22400 	22800 	22000 	22500 	22700 	23200 	23200 	23700 	24300 	23600 	: 
PPS_HAB,BAL,B5N,BE22	19500 	20200 	20600 	19800 	20200 	20700 	21200 	21200 	21700 	22200 	21500 	: 
PPS_HAB,BAL,B5N,BE23	22100 	23100 	23500 	22800 	23200 	23800 	24400 	24500 	25100 	25800 	24900 	: 
PPS_HAB,BAL,B5N,BE24	25700 	26800 	27200 	26300 	26700 	27100 	27900 	27800 	28500 	29200 	28200 	: 
PPS_HAB,BAL,B5N,BE25	20400 	21200 	21600 	20900 	21400 	22000 	22600 	22700 	23300 	24000 	23000 	: 
PPS_HAB,BAL,B5N,BE31	24000 	24900 	25200 	24400 	24800 	25200 	25900 	25800 	26600 	26900 	25900 	: 
PPS_HAB,BAL,B5N,BE32	15800 	16400 	16800 	16200 	16500 	16900 	17200 	17300 	17600 	17800 	17300 	: 
PPS_HAB,BAL,B5N,BE33	17000 	17700 	18100 	17500 	17700 	18200 	18600 	18700 	19100 	19500 	18900 	: 
PPS_HAB,BAL,B5N,BE34	18700 	19300 	19600 	18800 	19200 	19600 	20100 	20300 	20800 	21400 	20800 	: 
PPS_HAB,BAL,B5N,BE35	18300 	19100 	19400 	18900 	19300 	19800 	20400 	20400 	20900 	21300 	20700 	: 
PPS_HAB,BAL,B5N,BG31	3300 	4200 	4100 	3700 	3600 	3800 	3700 	4400 	4800 	4900 	5000 	5000 
PPS_HAB,BAL,B5N,BG32	4300 	4500 	4800 	4000 	4000 	4800 	4600 	5000 	5300 	5900 	6400 	6700 
PPS_HAB,BAL,B5N,BG33	4500 	4600 	4800 	4400 	4400 	5000 	5400 	5900 	6500 	6800 	6400 	6300 
PPS_HAB,BAL,B5N,BG34	4500 	4700 	5300 	4600 	4600 	5700 	5100 	5500 	5500 	6000 	6300 	6900 
PPS_HAB,BAL,B5N,BG41	6000 	7100 	8100 	7700 	8300 	8800 	9600 	10500 	11600 	12100 	13100 	14000 
PPS_HAB,BAL,B5N,BG42	4000 	4400 	5000 	4500 	4400 	5100 	4900 	5300 	5900 	6000 	6500 	6600 
PPS_HAB,BAL,B5N,CY00	14900 	16300 	17100 	15900 	15300 	15100 	14700 	13200 	13100 	14100 	14500 	14900 p
PPS_HAB,BAL,B5N,CZ01	16300 	17200 	17000 	16400 	17200 	17100 	17000 	17500 	18400 	19200 	19400 	: 
PPS_HAB,BAL,B5N,CZ02	12200 	13100 	13100 	13100 	13500 	13600 	14000 	13900 	14700 	15200 	16200 	: 
PPS_HAB,BAL,B5N,CZ03	11100 	11900 	12100 	11700 	11600 	11800 	12100 	12300 	13100 	13900 	13900 	: 
PPS_HAB,BAL,B5N,CZ04	9900 	10300 	10500 	10500 	10500 	10700 	10500 	10800 	11300 	12000 	12500 	: 
PPS_HAB,BAL,B5N,CZ05	10500 	11100 	11200 	11000 	11000 	11100 	11500 	11800 	12600 	13300 	13600 	: 
PPS_HAB,BAL,B5N,CZ06	10300 	11400 	11500 	11200 	11500 	11600 	12000 	12500 	13300 	14100 	14200 	: 
PPS_HAB,BAL,B5N,CZ07	10200 	11000 	11100 	10600 	10400 	10800 	11200 	11200 	12000 	12900 	12800 	: 
PPS_HAB,BAL,B5N,CZ08	9600 	10400 	11000 	10600 	10600 	10900 	11000 	11000 	11900 	12500 	12700 	: 
PPS_HAB,BAL,B5N,DE11	25400 	26400 	26700 	25000 	26200 	27600 	28900 	28800 	29800 e	30800 e	30800 e	: 
PPS_HAB,BAL,B5N,DE12	23700 	24600 	24900 	23300 	24300 	25600 	26800 	26700 	27500 e	28400 e	28500 e	: 
PPS_HAB,BAL,B5N,DE13	22400 	23200 	23600 	22400 	23600 	25000 	26200 	26200 	27200 e	28100 e	28100 e	: 
PPS_HAB,BAL,B5N,DE14	23500 	24500 	24800 	23300 	24500 	25900 	27200 	27200 	28400 e	29300 e	29300 e	: 
PPS_HAB,BAL,B5N,DE21	28500 	30000 	30200 	28500 	29500 	30900 	32600 	32500 	34200 e	35100 e	35000 e	: 
PPS_HAB,BAL,B5N,DE22	20700 	21900 	22200 	21200 	22100 	23400 	24900 	25100 	25600 e	26200 e	26200 e	: 
PPS_HAB,BAL,B5N,DE23	20500 	21500 	22000 	21100 	22000 	23400 	24600 	24700 	25500 e	26300 e	26300 e	: 
PPS_HAB,BAL,B5N,DE24	20300 	21400 	21900 	21000 	21900 	23300 	24000 	24100 	24500 e	25400 e	25500 e	: 
PPS_HAB,BAL,B5N,DE25	23200 	24400 	24700 	23600 	24600 	26000 	26900 	26700 	27400 e	28200 e	28200 e	: 
PPS_HAB,BAL,B5N,DE26	21300 	22400 	22900 	21900 	22900 	24300 	25100 	25100 	26000 e	26900 e	27000 e	: 
PPS_HAB,BAL,B5N,DE27	22300 	23400 	23900 	22800 	23800 	25200 	26400 	26400 	27100 e	27800 e	27700 e	: 
PPS_HAB,BAL,B5N,DE30	17700 	18300 	18600 	18200 	19000 	19900 	20600 	20700 	21500 e	22500 e	22500 e	: 
PPS_HAB,BAL,B5N,DE40	15700 	16600 	17100 	17000 	17400 	18500 	19000 	19100 	19800 e	20500 e	20500 e	: 
PPS_HAB,BAL,B5N,DE50	19500 	20200 	21800 	20100 	20300 	21000 	22200 	22000 	22700 e	23400 e	23300 e	: 
PPS_HAB,BAL,B5N,DE60	26200 	26600 	26500 	25800 	26000 	27300 	28500 	28800 	29700 e	30600 e	30600 e	: 
PPS_HAB,BAL,B5N,DE71	25000 	26100 	26300 	24900 	25700 	26800 	27900 	27800 	28800 e	29700 e	29600 e	: 
PPS_HAB,BAL,B5N,DE72	19800 	20500 	21000 	20100 	21000 	22000 	22900 	22900 	23700 e	24600 e	24500 e	: 
PPS_HAB,BAL,B5N,DE73	18400 	19100 	19600 	18900 	20000 	20900 	21800 	21700 	22500 e	23300 e	23300 e	: 
PPS_HAB,BAL,B5N,DE80	14100 	14800 	15300 	15200 	15600 	16400 	17100 	17200 	17700 e	18200 e	18200 e	: 
PPS_HAB,BAL,B5N,DE91	19100 	19600 	19900 	19400 	20100 	21500 	22900 	23100 	24100 e	24900 e	24900 e	: 
PPS_HAB,BAL,B5N,DE92	19700 	20300 	20600 	20100 	20700 	21800 	22900 	22800 	23700 e	24500 e	24300 e	: 
PPS_HAB,BAL,B5N,DE93	20200 	20900 	21200 	20800 	21400 	22600 	23500 	23600 	24400 e	25100 e	25000 e	: 
PPS_HAB,BAL,B5N,DE94	18500 	19200 	19500 	19100 	19700 	20900 	21900 	22000 	22700 e	23300 e	23200 e	: 
PPS_HAB,BAL,B5N,DEA1	21500 	22200 	22600 	21500 	22300 	23500 	24500 	24300 	25300 e	25800 e	25800 e	: 
PPS_HAB,BAL,B5N,DEA2	21900 	22500 	23000 	22000 	22900 	24100 	25000 	25000 	26000 e	26500 e	26400 e	: 
PPS_HAB,BAL,B5N,DEA3	19300 	20000 	20500 	19700 	20500 	21700 	22500 	22600 	23600 e	24100 e	24000 e	: 
PPS_HAB,BAL,B5N,DEA4	20700 	21400 	21900 	21000 	21800 	23100 	23900 	24000 	25200 e	25600 e	25600 e	: 
PPS_HAB,BAL,B5N,DEA5	20100 	20800 	21300 	20300 	21000 	22300 	23200 	22700 	23800 e	24300 e	24400 e	: 
PPS_HAB,BAL,B5N,DEB1	20900 	21800 	21900 	21700 	21900 	23100 	23900 	24000 	24700 e	25600 e	25400 e	: 
PPS_HAB,BAL,B5N,DEB2	20500 	21400 	21800 	21700 	22100 	23300 	23900 	23900 	24700 e	25500 e	25500 e	: 
PPS_HAB,BAL,B5N,DEB3	22200 	23100 	23200 	22900 	23300 	24500 	25400 	25300 	26300 e	27200 e	26900 e	: 
PPS_HAB,BAL,B5N,DEC0	18700 	19400 	19400 	18900 	19800 	20900 	21600 	21500 	22300 e	22800 e	22700 e	: 
PPS_HAB,BAL,B5N,DED2	14700 	15500 	15900 	15500 	16200 	17000 	17700 	17700 	18400 e	19000 e	19200 e	: 
PPS_HAB,BAL,B5N,DED4	13800 	14600 	15000 	14700 	15200 	16100 	16800 	16800 	17500 e	18200 e	18400 e	: 
PPS_HAB,BAL,B5N,DED5	14800 	15700 	16100 	15800 	16500 	17500 	18300 	18400 	19000 e	19500 e	19400 e	: 
PPS_HAB,BAL,B5N,DEE0	13500 	14200 	14700 	14600 	15200 	16100 	16800 	16800 	17500 e	18100 e	18100 e	: 
PPS_HAB,BAL,B5N,DEF0	20400 	21300 	21500 	21000 	21600 	22800 	23800 	23800 	24600 e	25300 e	25200 e	: 
PPS_HAB,BAL,B5N,DEG0	14600 	15400 	15800 	15500 	16000 	17000 	17700 	17800 	18500 e	19100 e	19200 e	: 
PPS_HAB,BAL,B5N,DK01	19700 	20600 	20700 	20200 	21000 	21000 	21700 	22100 	22900 	24300 	23700 	24900 
PPS_HAB,BAL,B5N,DK02	17100 	17800 	17600 	17000 	17700 	17600 	18100 	18600 	19000 	20100 	19500 	20500 
PPS_HAB,BAL,B5N,DK03	16300 	17100 	17100 	16300 	16900 	16900 	17300 	17700 	18100 	19100 	18600 	19700 
PPS_HAB,BAL,B5N,DK04	17300 	18100 	18000 	17200 	17800 	17800 	18300 	18700 	19000 	20200 	19700 	20900 
PPS_HAB,BAL,B5N,DK05	15900 	16800 	16600 	15900 	16500 	16700 	17300 	17700 	17900 	18900 	18400 	19500 
PPS_HAB,BAL,B5N,EL30	18800 	19500 	19400 	18600 	16800 	15200 	14500 	14000 	14300 	14300 p	14000 p	: 
PPS_HAB,BAL,B5N,EL41	13100 	13800 	14000 	13700 	13300 	11800 	11200 	10800 	10800 	11000 p	10800 p	: 
PPS_HAB,BAL,B5N,EL42	14300 	14900 	15000 	14500 	15300 	14300 	12900 	12200 	15500 	16100 p	15900 p	: 
PPS_HAB,BAL,B5N,EL43	14200 	14700 	14200 	13400 	11500 	10300 	9900 	9500 	10800 	10800 p	10800 p	: 
PPS_HAB,BAL,B5N,EL51	13000 	12600 	12400 	12000 	10700 	9600 	9300 	8800 	9300 	9400 p	9200 p	: 
PPS_HAB,BAL,B5N,EL52	13300 	14000 	14100 	13400 	12200 	11100 	10600 	10200 	10500 	10700 p	10700 p	: 
PPS_HAB,BAL,B5N,EL53	12900 	13600 	13900 	13500 	12400 	11500 	11500 	11100 	11500 	11600 p	10900 p	: 
PPS_HAB,BAL,B5N,EL54	12300 	13000 	13200 	13200 	12400 	11000 	10500 	10100 	10100 	10100 p	9800 p	: 
PPS_HAB,BAL,B5N,EL61	13200 	13600 	14700 	13500 	11800 	10600 	10100 	9700 	9900 	9900 p	9700 p	: 
PPS_HAB,BAL,B5N,EL62	13800 	14400 	14000 	13600 	13400 	12100 	11700 	11300 	13100 	13100 p	12800 p	: 
PPS_HAB,BAL,B5N,EL63	12600 	12900 	13500 	12800 	11400 	10000 	9300 	8900 	9100 	9200 p	9000 p	: 
PPS_HAB,BAL,B5N,EL64	13300 	13900 	13800 	13400 	12400 	10900 	9200 	8700 	10100 	9900 p	8400 p	: 
PPS_HAB,BAL,B5N,EL65	13300 	13800 	13700 	13600 	12500 	11000 	10300 	9900 	10200 	10200 p	10100 p	: 
PPS_HAB,BAL,B5N,ES11	13900 	14400 	14300 	13300 	13200 	13200 	12800 	12800 	13500 	14200 	14200 p	: 
PPS_HAB,BAL,B5N,ES12	15100 	15600 	15600 	14200 	14000 	14200 	13700 	13600 	14100 	14800 	14400 p	: 
PPS_HAB,BAL,B5N,ES13	16300 	16500 	16400 	14900 	14300 	14400 	13800 	13800 	14500 	15300 	15300 p	: 
