unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,AL01	: 	: 	: 	4.5 	6.8 	14.3 b	1.7 	-0.4 	-0.8 	4.3 	4 p	: 
PCH_PRE,AL02	: 	: 	: 	4.6 	2.2 	13.8 b	0.6 	1.7 	3 	4.9 	3.8 p	: 
PCH_PRE,AL03	: 	: 	: 	1.7 	3.9 	28.1 b	1.2 	1.5 	3.1 	-3.1 	1.7 p	: 
PCH_PRE,AT11	1.1 	3.5 	0.9 	-2 	2.2 	3.3 	1.6 	1.6 	0.4 	1.1 	2 	3.6 
PCH_PRE,AT12	4.3 	5.3 	3.9 	-3.5 	0.6 	3.2 	-0.2 	0.5 	1.5 	1 	1.4 	2.1 
PCH_PRE,AT13	3.8 	2.5 	0.8 	-1.6 	1.4 	2.3 	-0.2 	-0.4 	-0.5 	0.7 	2.8 	1.9 
PCH_PRE,AT21	2.8 	5 	1.5 	-5.5 	2.1 	4.1 	-0.9 	-0.4 	0.6 	-0.2 	0.9 	4.6 
PCH_PRE,AT22	3.3 	4.8 	0.7 	-6.4 	2.3 	3.9 	2.2 	-0.7 	1 	-0.3 	2.2 	3.6 
PCH_PRE,AT31	3.6 	3.7 	3.5 	-7 	2.9 	4.1 	0.2 	1.3 	1.1 	0.4 	2.1 	3.4 
PCH_PRE,AT32	4.8 	5.1 	0 	-4.3 	3.9 	3.1 	1.2 	-1.1 	0.2 	1.9 	2.9 	2 
PCH_PRE,AT33	4.4 	2.8 	-0.8 	-3.4 	1.1 	2.7 	2.4 	0.4 	0.9 	2.5 	1.7 	2.7 
PCH_PRE,AT34	3.9 	4.1 	1.6 	-5.3 	2.5 	4.3 	0.4 	1.8 	3 	5.3 	-1.1 	1.8 
PCH_PRE,ATZZ	10.1 	-4.3 	3.6 	9.3 	-0.9 	-5.1 	0 	-8.1 	-1.3 	1.3 	-0.3 	0.8 
PCH_PRE,BE10	1.2 	2.1 	0.9 	-2.6 	1.5 	2.1 	0 	-0.5 	-1.5 	1.7 	0 	0.9 
PCH_PRE,BE21	1.3 	4.1 	1.6 	-2.3 	3.1 	3.5 	0.2 	1.3 	2.3 	2.3 	2.1 	2.9 
PCH_PRE,BE22	3.9 	4.2 	2 	-5.8 	3.1 	3.4 	-0.1 	-0.2 	3.5 	0.4 	1 	1.8 
PCH_PRE,BE23	2.6 	4.8 	0.2 	0.1 	2.2 	2 	0 	0.1 	2.2 	3.9 	1.4 	1.5 
PCH_PRE,BE24	4.5 	4 	0.9 	0.6 	0.9 	1.8 	2 	1.1 	0.6 	1.8 	1.7 	1.3 
PCH_PRE,BE25	4.3 	4.1 	-0.3 	-2.6 	2.5 	2.1 	0.7 	0.3 	2.9 	0.9 	1.6 	1.6 
PCH_PRE,BE31	2.7 	4.1 	5.6 	-3.2 	13.6 	-6.9 	-0.5 	2 	4.5 	3.6 	1.6 	3.2 
PCH_PRE,BE32	1.4 	2.5 	2.7 	-5 	1.9 	3 	-0.6 	-1 	0.6 	1.1 	0.8 	1.3 
PCH_PRE,BE33	2.2 	3 	1.6 	-2.4 	1.4 	3.5 	-0.2 	-1.1 	0.5 	0.9 	1.2 	1.4 
PCH_PRE,BE34	3.3 	0.8 	0.4 	-2.5 	2.2 	2.1 	-1.6 	-0.8 	0.7 	2.1 	0.6 	1.2 
PCH_PRE,BE35	3 	2.1 	2.1 	-1.4 	3 	0.7 	-0.9 	-1.4 	1.1 	0.8 	1.5 	0.6 
PCH_PRE,BEZZ	-5.5 	-1.3 	1.3 	1.8 	19.3 	-2 	3 	-2.8 	1.5 	-3.4 	-31.2 	3 
PCH_PRE,BG31	-1.8 	1.7 	2.1 	-4.3 	-2.8 	-0.9 	-2.3 	-1 	3.9 	-1.4 	1.7 	6 
PCH_PRE,BG32	1.2 	2.7 	2.8 	-3.4 	-1.6 	-0.1 	0.9 	1.5 	4.9 	-1.1 	2 	3.8 
PCH_PRE,BG33	7.7 	5.5 	6.3 	-5.5 	0.9 	2.5 	1.3 	0.2 	4.9 	0.8 	1.2 	3.5 
PCH_PRE,BG34	-0.3 	0 	7.2 	-1 	-0.3 	-0.2 	2.9 	2.6 	3.7 	0.7 	9.7 	3.9 
PCH_PRE,BG41	13.8 	14 	8.2 	0.8 	3.4 	4.2 	-2.6 	-0.6 	1.1 	4.1 	3.1 	4.2 
PCH_PRE,BG42	4.7 	2.5 	2.6 	-1.2 	2.5 	-0.5 	0.4 	-0.6 	-0.6 	6.9 	2.6 	4.4 
PCH_PRE,CY00	4.7 	5.1 	3.6 	-2 	1.3 	0.4 	-2.9 	-5.8 	-1.3 	2 	4.8 	4.2 p
PCH_PRE,CZ01	5.6 	9.1 	3 	-6.2 	2.6 	-0.5 	-0.2 	0.7 	3.1 	9.3 	2.1 	4.5 
PCH_PRE,CZ02	14.6 	7.4 	8.8 	-7.3 	2 	6.6 	-1 	-1.8 	4.5 	3.2 	6.1 	7.8 
PCH_PRE,CZ03	7.4 	0 	-0.6 	-2.8 	3.7 	1.2 	-1.9 	1 	3.2 	2.6 	2.5 	3.5 
PCH_PRE,CZ04	7.9 	2.1 	1.6 	-1.2 	-2.5 	-1.4 	-0.7 	-1.4 	1.3 	3.6 	-1.2 	1.3 
PCH_PRE,CZ05	7.4 	4.5 	3.9 	-5.4 	5.1 	2.7 	-3.2 	-1 	3.8 	4.2 	3.3 	6.6 
PCH_PRE,CZ06	6.3 	6 	4.2 	-5.1 	3 	3.2 	1 	1.4 	2.9 	4.1 	0.9 	2.3 
PCH_PRE,CZ07	7.1 	4.6 	6.2 	-4.7 	3.7 	3 	-1.6 	-1 	5.7 	1.9 	2.8 	4.1 
PCH_PRE,CZ08	5.9 	2.9 	1.6 	-8.7 	4.3 	3.9 	-0.5 	-4.4 	2.9 	2.7 	2.5 	2.6 
PCH_PRE,DE11	7.6 e	5.3 e	-1.6 e	-10.9 e	10.1 e	5.1 e	1.1 e	0.7 e	2.6 e	4.5 e	0.9 e	2.3 e
PCH_PRE,DE12	5.3 e	3.7 e	1.8 e	-7.2 e	5.5 e	3.4 e	-0.2 e	0.1 e	0.8 e	2.7 e	2 e	2.2 e
PCH_PRE,DE13	5.5 e	3.3 e	1.9 e	-9.1 e	5.9 e	4.7 e	0.2 e	1.3 e	3.3 e	1.4 e	1.8 e	2.1 e
PCH_PRE,DE14	5 e	4.8 e	2.4 e	-10.5 e	8.1 e	5.3 e	0.1 e	1.2 e	1.9 e	2.3 e	4 e	2.1 e
PCH_PRE,DE21	4 e	4.8 e	-1.4 e	-4.5 e	4.4 e	6.6 e	1.9 e	2.1 e	2.2 e	2.9 e	1.9 e	2.8 e
PCH_PRE,DE22	2.7 e	4.3 e	0.7 e	-4.8 e	8.1 e	5.2 e	-1.9 e	1.5 e	4.6 e	0.5 e	2 e	2.9 e
PCH_PRE,DE23	3.2 e	5.5 e	2.7 e	-6.2 e	6.9 e	5.2 e	0.4 e	0.9 e	4.3 e	1 e	1.2 e	2.9 e
PCH_PRE,DE24	5.2 e	2.2 e	0.6 e	-3.2 e	4.2 e	4.8 e	0.2 e	0 e	1.6 e	3.1 e	1.6 e	2.7 e
PCH_PRE,DE25	3.5 e	3.5 e	2.8 e	-4.7 e	4 e	4.8 e	1.8 e	0.5 e	2.2 e	1.8 e	2.5 e	2.8 e
PCH_PRE,DE26	2.9 e	3.3 e	0.1 e	-7.1 e	5.7 e	6.1 e	0 e	0 e	1.3 e	0.2 e	2.8 e	2.8 e
PCH_PRE,DE27	4.6 e	1.5 e	2.1 e	-5.7 e	5.1 e	5.2 e	1.9 e	0.5 e	2.9 e	1.5 e	2 e	2.9 e
PCH_PRE,DE30	3.2 e	3.9 e	4.2 e	-1.9 e	3.1 e	3.5 e	0.1 e	0 e	2.5 e	3.3 e	3.2 e	3 e
PCH_PRE,DE40	3.1 e	2.4 e	2.2 e	-3.3 e	3 e	0.8 e	0.8 e	0.7 e	3.5 e	0.7 e	1.6 e	1.4 e
PCH_PRE,DE50	4.3 e	2.4 e	0.4 e	-9.8 e	4.8 e	2.3 e	2.8 e	-0.9 e	1.1 e	1.4 e	1.9 e	3.3 e
PCH_PRE,DE60	1.9 e	2.6 e	3.4 e	-5.2 e	1.5 e	0.6 e	0.5 e	3.1 e	0.3 e	1.9 e	1.4 e	2.4 e
PCH_PRE,DE71	3.3 e	3.4 e	1 e	-7.9 e	3 e	3 e	-0.1 e	0.8 e	1.7 e	-0.2 e	2.2 e	2.3 e
PCH_PRE,DE72	2.8 e	3.8 e	2 e	-10.7 e	3.1 e	3.1 e	-1 e	-0.4 e	2.4 e	0.3 e	1.9 e	2.2 e
PCH_PRE,DE73	3.3 e	2.6 e	-0.2 e	-6.8 e	4.5 e	2 e	-0.3 e	0.9 e	1.4 e	1.1 e	3.4 e	2.1 e
PCH_PRE,DE80	1.7 e	5 e	1.7 e	-1.3 e	0 e	1.8 e	-0.3 e	0.5 e	2.4 e	0.1 e	0.4 e	1.9 e
PCH_PRE,DE91	2.8 e	4.5 e	-0.3 e	-9.1 e	10.3 e	7.5 e	-1.5 e	1.1 e	3.7 e	-5.1 e	17.4 e	2.6 e
PCH_PRE,DE92	3.9 e	1.7 e	2.3 e	-5 e	3.6 e	4.1 e	-1.2 e	-0.4 e	1.7 e	0.8 e	3.6 e	2.3 e
PCH_PRE,DE93	3.5 e	3.9 e	1.9 e	-3.1 e	2.3 e	2.5 e	5.2 e	-2 e	3.7 e	1.2 e	0.3 e	2.5 e
PCH_PRE,DE94	4.6 e	4.6 e	3.3 e	-4.8 e	4.7 e	3.2 e	1.6 e	-0.9 e	1.8 e	2.2 e	2.6 e	2.5 e
PCH_PRE,DEA1	1.9 e	5.4 e	3.2 e	-6.6 e	1.3 e	2.1 e	-0.6 e	0 e	1.8 e	0.3 e	1.2 e	1.7 e
PCH_PRE,DEA2	4.4 e	4.7 e	-0.2 e	-3.6 e	2.5 e	2.3 e	0.6 e	1.2 e	1.9 e	2.9 e	2.2 e	1.7 e
PCH_PRE,DEA3	3.5 e	4 e	1.9 e	-6.9 e	4 e	2.5 e	0.4 e	-0.1 e	1.2 e	0.5 e	1.9 e	1.7 e
PCH_PRE,DEA4	3 e	4.9 e	0.2 e	-6.1 e	2.8 e	4.4 e	1 e	1.2 e	2.7 e	-0.2 e	2.7 e	1.7 e
PCH_PRE,DEA5	2.6 e	3.2 e	1.8 e	-7.1 e	4.4 e	3.1 e	-0.4 e	-0.4 e	2.1 e	0.1 e	1.7 e	1.6 e
PCH_PRE,DEB1	3.6 e	2.3 e	0.5 e	-5.7 e	4.8 e	3.1 e	0.7 e	0.2 e	2.8 e	0.9 e	1.8 e	2.3 e
PCH_PRE,DEB2	2.3 e	3 e	1.9 e	-4.9 e	1.9 e	4.8 e	0.8 e	2.2 e	1.8 e	1.7 e	1 e	2.3 e
PCH_PRE,DEB3	3.9 e	4.1 e	0.6 e	-5 e	6 e	2.9 e	1.6 e	-0.9 e	2.3 e	2.8 e	1 e	2.6 e
PCH_PRE,DEC0	3 e	2.9 e	0.4 e	-11.1 e	5.4 e	4.5 e	-1.3 e	-2.3 e	3 e	0.4 e	-0.7 e	1.1 e
PCH_PRE,DED2	2.8 e	3.8 e	-0.9 e	-4.4 e	2.6 e	2.1 e	0.4 e	0.9 e	2.9 e	4.1 e	1.8 e	1.3 e
PCH_PRE,DED4	5 e	3.5 e	0 e	-6.5 e	4.2 e	3.1 e	-0.5 e	-1.5 e	3.2 e	1.3 e	2.8 e	1.2 e
PCH_PRE,DED5	6 e	4 e	1.7 e	-2.5 e	3.1 e	5.1 e	2.8 e	1.3 e	4 e	1.2 e	3.2 e	1.4 e
PCH_PRE,DEE0	3.6 e	2.9 e	0.3 e	-6 e	4.5 e	-1 e	2.5 e	-0.6 e	1.4 e	0.8 e	1.4 e	0.7 e
PCH_PRE,DEF0	2.8 e	2.1 e	2.8 e	-4.2 e	1.1 e	2.4 e	3.1 e	-0.3 e	2.2 e	0.8 e	2.3 e	2.1 e
PCH_PRE,DEG0	3.5 e	3.3 e	-0.1 e	-5.6 e	4.9 e	4.2 e	-0.2 e	1.4 e	4.1 e	1.2 e	1.7 e	1.6 e
PCH_PRE,DK01	1.9 	0.9 	1.9 	-3.5 	3.9 	1.5 	2.1 	2.3 	2.3 	4 	3.3 	2.3 
PCH_PRE,DK02	3.1 	-1.5 	-3.5 	-6.3 	3.1 	1.1 	0.1 	-0.7 	1.4 	3.9 	-0.1 	2.5 
PCH_PRE,DK03	6.6 	2.3 	0.4 	-4.5 	1 	2.5 	-0.3 	1.9 	1.4 	1.2 	0.7 	1 
PCH_PRE,DK04	6.8 	0.6 	0.7 	-4 	-0.1 	2.9 	-1.2 	1.1 	1.8 	0 	3.6 	2.1 
